"","Year","Month","Day","Site","Depth","Transect","Observer","Species_Code","Coral_genus","Coral_spp","length","width","height","coral_SA"
"1",1999,NA,NA,"Grundy's  Gardens ",9.8,"1","CH","AAGA","Agaricia","agaricites","35","","20",NA
"2",1999,NA,NA,"Grundy's  Gardens ",9.8,"1","CH","PPOR","Porites","porites","50","","40",NA
"3",1999,NA,NA,"Grundy's  Gardens ",9.8,"1","CH","OFAV","Orbicella","faveolata","80","","70",NA
"4",1999,NA,NA,"Grundy's  Gardens ",9.8,"1","CH","OFRA","Orbicella","franksi","60","","40",NA
"5",1999,NA,NA,"Grundy's  Gardens ",9.8,"1","CH","OANN","Orbicella","annularis","120","","70",NA
"6",1999,NA,NA,"Grundy's  Gardens ",9.8,"1","CH","MCAV","Montastraea","cavernosa","20","","40",NA
"7",1999,NA,NA,"Grundy's  Gardens ",11,"1","CH","OANN","Orbicella","annularis","55","","40",NA
"8",1999,NA,NA,"Grundy's  Gardens ",9.8,"2","CH","OFAV","Orbicella","faveolata","190","","320",NA
"9",1999,NA,NA,"Grundy's  Gardens ",9.8,"2","CH","OANN","Orbicella","annularis","110","","100",NA
"10",1999,NA,NA,"Grundy's  Gardens ",9.8,"2","CH","OFRA","Orbicella","franksi","110","","180",NA
"11",1999,NA,NA,"Grundy's  Gardens ",9.8,"2","CH","OFRA","Orbicella","franksi","100","","50",NA
"12",1999,NA,NA,"Grundy's  Gardens ",9.8,"2","CH","OFRA","Orbicella","franksi","120","","80",NA
"13",1999,NA,NA,"Grundy's  Gardens ",10,"2","CH","OANN","Orbicella","annularis","100","","75",NA
"14",1999,NA,NA,"Grundy's  Gardens ",9,"3","CH","OANN","Orbicella","annularis","50","","50",NA
"15",1999,NA,NA,"Grundy's  Gardens ",9,"3","CH","OFAV","Orbicella","faveolata","200","","130",NA
"16",1999,NA,NA,"Grundy's  Gardens ",9,"3","CH","OANN","Orbicella","annularis","40","","30",NA
"17",1999,NA,NA,"Grundy's  Gardens ",9,"3","CH","OANN","Orbicella","annularis","110","","50",NA
"18",1999,NA,NA,"Grundy's  Gardens ",9,"3","CH","OANN","Orbicella","annularis","60","","50",NA
"19",1999,NA,NA,"Grundy's  Gardens ",9,"3","CH","OANN","Orbicella","annularis","40","","50",NA
"20",1999,NA,NA,"Grundy's  Gardens ",9,"3","RG","AAGA","Agaricia","agaricites","30","","20",NA
"21",1999,NA,NA,"Grundy's  Gardens ",9,"3","RG","OFAV","Orbicella","faveolata","80","","60",NA
"22",1999,NA,NA,"Grundy's  Gardens ",9,"3","RG","OFAV","Orbicella","faveolata","40","","40",NA
"23",1999,NA,NA,"Grundy's  Gardens ",9,"3","RG","OFAV","Orbicella","faveolata","60","","30",NA
"24",1999,NA,NA,"Grundy's  Gardens ",9,"3","RG","OANN","Orbicella","annularis","120","","80",NA
"25",1999,NA,NA,"Grundy's  Gardens ",10.7,"3","RG","OANN","Orbicella","annularis","60","","40",NA
"26",1999,NA,NA,"Grundy's  Gardens ",10.7,"4","RG","OFAV","Orbicella","faveolata","220","","110",NA
"27",1999,NA,NA,"Grundy's  Gardens ",10.7,"4","RG","OANN","Orbicella","annularis","100","","80",NA
"28",1999,NA,NA,"Grundy's  Gardens ",10.7,"4","RG","OFRA","Orbicella","franksi","80","","160",NA
"29",1999,NA,NA,"Grundy's  Gardens ",10.7,"4","RG","OFRA","Orbicella","franksi","100","","70",NA
"30",1999,NA,NA,"Grundy's  Gardens ",10.7,"4","RG","OFAV","Orbicella","faveolata","120","","60",NA
"31",1999,NA,NA,"Grundy's  Gardens ",9,"4","RG","OANN","Orbicella","annularis","80","","60",NA
