"","date","year","month","day","site","mpa","observer","transect","common_name","sizeclass","count","fish_spp","common_family","foodweb","a","b","biomass","density"
"1","",2018,NA,NA,"Jigsaw","Outside",NA,4,"Balloonfish",50,"1","Diodon holocanthus","Porcupinefish","Carnivore","0.0631","2.83","4056.15434","0.033333333"
"2","7/19/15",2015,NA,NA,"Meadows","Inside ",NA,4,"Black durgeon",40,"4","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","5272.89944","0.133333333"
"3","7/19/15",2015,NA,NA,"Meadows","Inside ",NA,7,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"4","7/19/15",2015,NA,NA,"Meadows","Inside ",NA,8,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"5","7/18/15",2015,NA,NA,"Mixing Bowl","Inside ",NA,6,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"6","7/18/15",2015,NA,NA,"Mixing Bowl","Inside ",NA,7,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"7","7/18/15",2015,NA,NA,"Mixing Bowl","Inside ",NA,9,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"8","7/21/15",2015,NA,NA,"Pauls Anchors","Inside ",NA,3,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"9","7/21/15",2015,NA,NA,"Pauls Anchors","Inside ",NA,4,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"10","7/21/15",2015,NA,NA,"Pauls Anchors","Inside ",NA,6,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"11","7/15/15",2015,NA,NA,"Snapshot","Outside",NA,3,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"12","7/15/15",2015,NA,NA,"Snapshot","Outside",NA,9,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"13","7/17/15",2015,NA,NA,"West Point","Outside",NA,1,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"14","7/17/15",2015,NA,NA,"West Point","Outside",NA,2,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"15","7/17/15",2015,NA,NA,"West Point","Outside",NA,2,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"16","7/17/15",2015,NA,NA,"West Point","Outside",NA,7,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"17","7/17/15",2015,NA,NA,"West Point","Outside",NA,7,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"18","7/17/15",2015,NA,NA,"West Point","Outside",NA,9,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"19","7/20/17",2017,NA,NA,"Coral City","Outside",NA,2,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"20","7/20/17",2017,NA,NA,"Coral City","Outside",NA,2,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"21","7/20/17",2017,NA,NA,"Coral City","Outside",NA,3,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"22","7/20/17",2017,NA,NA,"Coral City","Outside",NA,4,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"23","7/20/17",2017,NA,NA,"Coral City","Outside",NA,6,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"24","7/20/17",2017,NA,NA,"Coral City","Outside",NA,7,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"25","7/20/17",2017,NA,NA,"Coral City","Outside",NA,8,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"26","7/20/17",2017,NA,NA,"Coral City","Outside",NA,10,"Black durgeon",30,"3","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1697.42607","0.1"
"27","7/20/17",2017,NA,NA,"Coral City","Outside",NA,10,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"28","7/19/17",2017,NA,NA,"Grundy's Gardens","Inside ",NA,5,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"29","7/19/17",2017,NA,NA,"Grundy's Gardens","Inside ",NA,9,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"30","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,2,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"31","7/18/17",2017,NA,NA,"Martha's Finyard","Outside",NA,10,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"32","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,4,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"33","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,6,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"34","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,9,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"35","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,9,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"36","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,10,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"37","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,1,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"38","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,3,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"39","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,6,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"40","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,8,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"41","7/17/17",2017,NA,NA,"Pauls Anchors","Inside ",NA,8,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"42","7/12/17",2017,NA,NA,"Sailfin","Outside",NA,4,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"43","7/12/17",2017,NA,NA,"Snapshot","Outside",NA,8,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"44","7/12/17",2017,NA,NA,"Snapshot","Outside",NA,1,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"45","7/12/17",2017,NA,NA,"Snapshot","Outside",NA,6,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"46","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,8,"Black durgeon",20,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","171.77554","0.033333333"
"47","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,8,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"48","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,8,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"49","7/13/17",2017,NA,NA,"Mixing Bowl","Inside ",NA,1,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"50","7/19/17",2017,NA,NA,"West Point","Outside",NA,10,"Black durgeon",30,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1131.61738","0.066666667"
"51","7/19/17",2017,NA,NA,"West Point","Outside",NA,10,"Black durgeon",40,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2636.44972","0.066666667"
"52","7/19/17",2017,NA,NA,"West Point","Outside",NA,6,"Black durgeon",30,"4","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2263.23475","0.133333333"
"53","7/19/17",2017,NA,NA,"West Point","Outside",NA,6,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"54","",2018,NA,NA,"Lucas Ledge","Outside",NA,1,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"55","",2018,NA,NA,"Lucas Ledge","Outside",NA,1,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"56","",2018,NA,NA,"Lucas Ledge","Outside",NA,2,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"57","",2018,NA,NA,"Lucas Ledge","Outside",NA,4,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"58","",2018,NA,NA,"Lucas Ledge","Outside",NA,7,"Black durgeon",30,"5","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2829.04344","0.166666667"
"59","",2018,NA,NA,"Lucas Ledge","Outside",NA,11,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"60","",2018,NA,NA,"Lucas Ledge","Outside",NA,12,"Black durgeon",30,"3","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1697.42607","0.1"
"61","",2018,NA,NA,"Lucas Ledge","Outside",NA,13,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"62","",2018,NA,NA,"Lucas Ledge","Outside",NA,14,"Black durgeon",30,"4","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","2263.23475","0.133333333"
"63","",2018,NA,NA,"Coral City","Outside",NA,1,"Black durgeon",20,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","171.77554","0.033333333"
"64","",2018,NA,NA,"Coral City","Outside",NA,2,"Black durgeon",40,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","1318.22486","0.033333333"
"65","",2018,NA,NA,"Coral City","Outside",NA,3,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"66","",2018,NA,NA,"Coral City","Outside",NA,5,"Black durgeon",30,"1","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","565.80869","0.033333333"
"67","",2018,NA,NA,"Coral City","Outside",NA,7,"Black durgeon",20,"2","Melichthys niger","Triggerfish","Omnivore","0.0257","2.94","343.55107","0.066666667"
