"","X","Year","Month","Day","Site","Depth","Transect","Observer","Species_Code","Coral_genus","Coral_spp","length","width","height","coral_SA","Site_Name"
"1",1,"1999",NA,NA,"Grundy's  Gardens",9.8,1,"CH","AAGA","Agaricia","agaricites",35,NA,20,2199.11485751285,"Grundy's Gardens"
"2",2,"1999",NA,NA,"Grundy's  Gardens",9.8,1,"CH","PPOR","Porites","porites",50,NA,40,6283.18530717959,"Grundy's Gardens"
"3",3,"1999",NA,NA,"Grundy's  Gardens",9.8,1,"CH","OFAV","Orbicella","faveolata",80,NA,70,17592.9188601028,"Grundy's Gardens"
"4",4,"1999",NA,NA,"Grundy's  Gardens",9.8,1,"CH","OFRA","Orbicella","franksi",60,NA,40,7539.8223686155,"Grundy's Gardens"
"5",5,"1999",NA,NA,"Grundy's  Gardens",9.8,1,"CH","OANN","Orbicella","annularis",120,NA,70,26389.3782901543,"Grundy's Gardens"
"6",6,"1999",NA,NA,"Grundy's  Gardens",9.8,1,"CH","MCAV","Montastraea","cavernosa",20,NA,40,2513.27412287183,"Grundy's Gardens"
"7",7,"1999",NA,NA,"Grundy's  Gardens",11,1,"CH","OANN","Orbicella","annularis",55,NA,40,6911.50383789755,"Grundy's Gardens"
"8",8,"1999",NA,NA,"Grundy's  Gardens",9.8,2,"CH","OFAV","Orbicella","faveolata",190,NA,320,191008.833338259,"Grundy's Gardens"
"9",9,"1999",NA,NA,"Grundy's  Gardens",9.8,2,"CH","OANN","Orbicella","annularis",110,NA,100,34557.5191894877,"Grundy's Gardens"
"10",10,"1999",NA,NA,"Grundy's  Gardens",9.8,2,"CH","OFRA","Orbicella","franksi",110,NA,180,62203.5345410779,"Grundy's Gardens"
"11",11,"1999",NA,NA,"Grundy's  Gardens",9.8,2,"CH","OFRA","Orbicella","franksi",100,NA,50,15707.963267949,"Grundy's Gardens"
"12",12,"1999",NA,NA,"Grundy's  Gardens",9.8,2,"CH","OFRA","Orbicella","franksi",120,NA,80,30159.289474462,"Grundy's Gardens"
"13",13,"1999",NA,NA,"Grundy's  Gardens",10,2,"CH","OANN","Orbicella","annularis",100,NA,75,23561.9449019234,"Grundy's Gardens"
"14",14,"1999",NA,NA,"Grundy's  Gardens",9,3,"CH","OANN","Orbicella","annularis",50,NA,50,7853.98163397448,"Grundy's Gardens"
"15",15,"1999",NA,NA,"Grundy's  Gardens",9,3,"CH","OFAV","Orbicella","faveolata",200,NA,130,81681.4089933346,"Grundy's Gardens"
"16",16,"1999",NA,NA,"Grundy's  Gardens",9,3,"CH","OANN","Orbicella","annularis",40,NA,30,3769.91118430775,"Grundy's Gardens"
"17",17,"1999",NA,NA,"Grundy's  Gardens",9,3,"CH","OANN","Orbicella","annularis",110,NA,50,17278.7595947439,"Grundy's Gardens"
"18",18,"1999",NA,NA,"Grundy's  Gardens",9,3,"CH","OANN","Orbicella","annularis",60,NA,50,9424.77796076938,"Grundy's Gardens"
"19",19,"1999",NA,NA,"Grundy's  Gardens",9,3,"CH","OANN","Orbicella","annularis",40,NA,50,6283.18530717959,"Grundy's Gardens"
"20",20,"1999",NA,NA,"Grundy's  Gardens",9,3,"RG","AAGA","Agaricia","agaricites",30,NA,20,1884.95559215388,"Grundy's Gardens"
"21",21,"1999",NA,NA,"Grundy's  Gardens",9,3,"RG","OFAV","Orbicella","faveolata",80,NA,60,15079.644737231,"Grundy's Gardens"
"22",22,"1999",NA,NA,"Grundy's  Gardens",9,3,"RG","OFAV","Orbicella","faveolata",40,NA,40,5026.54824574367,"Grundy's Gardens"
"23",23,"1999",NA,NA,"Grundy's  Gardens",9,3,"RG","OFAV","Orbicella","faveolata",60,NA,30,5654.86677646163,"Grundy's Gardens"
"24",24,"1999",NA,NA,"Grundy's  Gardens",9,3,"RG","OANN","Orbicella","annularis",120,NA,80,30159.289474462,"Grundy's Gardens"
"25",25,"1999",NA,NA,"Grundy's  Gardens",10.7,3,"RG","OANN","Orbicella","annularis",60,NA,40,7539.8223686155,"Grundy's Gardens"
"26",26,"1999",NA,NA,"Grundy's  Gardens",10.7,4,"RG","OFAV","Orbicella","faveolata",220,NA,110,76026.542216873,"Grundy's Gardens"
"27",27,"1999",NA,NA,"Grundy's  Gardens",10.7,4,"RG","OANN","Orbicella","annularis",100,NA,80,25132.7412287183,"Grundy's Gardens"
"28",28,"1999",NA,NA,"Grundy's  Gardens",10.7,4,"RG","OFRA","Orbicella","franksi",80,NA,160,40212.3859659494,"Grundy's Gardens"
"29",29,"1999",NA,NA,"Grundy's  Gardens",10.7,4,"RG","OFRA","Orbicella","franksi",100,NA,70,21991.1485751286,"Grundy's Gardens"
"30",30,"1999",NA,NA,"Grundy's  Gardens",10.7,4,"RG","OFAV","Orbicella","faveolata",120,NA,60,22619.4671058465,"Grundy's Gardens"
"31",31,"1999",NA,NA,"Grundy's  Gardens",9,4,"RG","OANN","Orbicella","annularis",80,NA,60,15079.644737231,"Grundy's Gardens"
"32",32,"1999",NA,NA,"Grundy's  Gardens",9.8,5,"CK","PAST","Porites","astreoides",30,NA,15,1413.71669411541,"Grundy's Gardens"
