"","X","date","year","month","day","site","mpa","observer","transect","common_name","sizeclass","count","fish_spp","common_family","foodweb","a","b","biomass","density","Site_Name"
"1",1,"","2018",NA,NA,"Jigsaw","Outside",NA,4,"Balloonfish",50,1,"Diodon holocanthus","Porcupinefish","Carnivore",0.0631,2.83,4056.15434,0.033333333,"Jigsaw Puzzle"
"2",2,"7/19/15","2015",NA,NA,"Meadows","Inside ",NA,4,"Black durgeon",40,4,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,5272.89944,0.133333333,"The Meadows"
"3",3,"7/19/15","2015",NA,NA,"Meadows","Inside ",NA,7,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"The Meadows"
"4",4,"7/19/15","2015",NA,NA,"Meadows","Inside ",NA,8,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"The Meadows"
"5",5,"7/18/15","2015",NA,NA,"Mixing Bowl","Inside ",NA,6,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Sailfin Miniwall"
"6",6,"7/18/15","2015",NA,NA,"Mixing Bowl","Inside ",NA,7,"Black durgeon",40,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,2636.44972,0.066666667,"Sailfin Miniwall"
"7",7,"7/18/15","2015",NA,NA,"Mixing Bowl","Inside ",NA,9,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Sailfin Miniwall"
"8",8,"7/21/15","2015",NA,NA,"Pauls Anchors","Inside ",NA,3,"Black durgeon",40,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1318.22486,0.033333333,"Paul's Anchor"
"9",9,"7/21/15","2015",NA,NA,"Pauls Anchors","Inside ",NA,4,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Paul's Anchor"
"10",10,"7/21/15","2015",NA,NA,"Pauls Anchors","Inside ",NA,6,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Paul's Anchor"
"11",11,"7/15/15","2015",NA,NA,"Snapshot","Outside",NA,3,"Black durgeon",30,2,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,1131.61738,0.066666667,"Snap Shot"
"12",12,"7/15/15","2015",NA,NA,"Snapshot","Outside",NA,9,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"Snap Shot"
"13",13,"7/17/15","2015",NA,NA,"West Point","Outside",NA,1,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"West Point"
"14",14,"7/17/15","2015",NA,NA,"West Point","Outside",NA,2,"Black durgeon",30,1,"Melichthys niger","Triggerfish","Omnivore",0.0257,2.94,565.80869,0.033333333,"West Point"
