Year,Month,Day,Site,Depth,Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Site_Name
1999,NA,NA,Grundy's  Gardens,9.8,1,CH,AAGA,Agaricia,agaricites,35,NA,20,2199.114858,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,1,CH,PPOR,Porites,porites,50,NA,40,6283.185307,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,1,CH,OFAV,Orbicella,faveolata,80,NA,70,17592.91886,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,1,CH,OFRA,Orbicella,franksi,60,NA,40,7539.822369,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,1,CH,OANN,Orbicella,annularis,120,NA,70,26389.37829,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,1,CH,MCAV,Montastraea,cavernosa,20,NA,40,2513.274123,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,11,1,CH,OANN,Orbicella,annularis,55,NA,40,6911.503838,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,2,CH,OFAV,Orbicella,faveolata,190,NA,320,191008.8333,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,2,CH,OANN,Orbicella,annularis,110,NA,100,34557.51919,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,2,CH,OFRA,Orbicella,franksi,110,NA,180,62203.53454,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,2,CH,OFRA,Orbicella,franksi,100,NA,50,15707.96327,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9.8,2,CH,OFRA,Orbicella,franksi,120,NA,80,30159.28947,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,10,2,CH,OANN,Orbicella,annularis,100,NA,75,23561.9449,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,CH,OANN,Orbicella,annularis,50,NA,50,7853.981634,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,CH,OFAV,Orbicella,faveolata,200,NA,130,81681.40899,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,CH,OANN,Orbicella,annularis,40,NA,30,3769.911184,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,CH,OANN,Orbicella,annularis,110,NA,50,17278.75959,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,CH,OANN,Orbicella,annularis,60,NA,50,9424.777961,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,CH,OANN,Orbicella,annularis,40,NA,50,6283.185307,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,RG,AAGA,Agaricia,agaricites,30,NA,20,1884.955592,Grundy's Gardens
1999,NA,NA,Grundy's  Gardens,9,3,RG,OFAV,Orbicella,faveolata,80,NA,60,15079.64474,Grundy's Gardens
