year,month,day,site,mpa,observer,transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density,Site_Name
2018,NA,NA,Jigsaw,Outside,NA,4,Balloonfish,50,1,Diodon holocanthus,Porcupinefish,Carnivore,0.0631,2.83,4056.15434,0.033333333,Jigsaw Puzzle
2015,NA,NA,Meadows,Inside ,NA,4,Black durgeon,40,4,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,5272.89944,0.133333333,The Meadows
2015,NA,NA,Meadows,Inside ,NA,7,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,The Meadows
2015,NA,NA,Meadows,Inside ,NA,8,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,The Meadows
2015,NA,NA,Mixing Bowl,Inside ,NA,6,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Sailfin Miniwall
2015,NA,NA,Mixing Bowl,Inside ,NA,7,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Sailfin Miniwall
2015,NA,NA,Mixing Bowl,Inside ,NA,9,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Sailfin Miniwall
2015,NA,NA,Pauls Anchors,Inside ,NA,3,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Paul's Anchor
2015,NA,NA,Pauls Anchors,Inside ,NA,4,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Paul's Anchor
2015,NA,NA,Pauls Anchors,Inside ,NA,6,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Paul's Anchor
2015,NA,NA,Snapshot,Outside,NA,3,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Snap Shot
2015,NA,NA,Snapshot,Outside,NA,9,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Snap Shot
2015,NA,NA,West Point,Outside,NA,1,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,West Point
2015,NA,NA,West Point,Outside,NA,2,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,West Point
2015,NA,NA,West Point,Outside,NA,2,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,West Point
2015,NA,NA,West Point,Outside,NA,7,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,West Point
2015,NA,NA,West Point,Outside,NA,7,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,West Point
2015,NA,NA,West Point,Outside,NA,9,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,West Point
2017,NA,NA,Coral City,Outside,NA,2,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,2,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,3,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,4,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,6,Black durgeon,30,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1131.61738,0.066666667,Coral City
2017,NA,NA,Coral City,Outside,NA,7,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,8,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Coral City
2017,NA,NA,Coral City,Outside,NA,10,Black durgeon,30,3,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1697.42607,0.1,Coral City
2017,NA,NA,Coral City,Outside,NA,10,Black durgeon,40,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,1318.22486,0.033333333,Coral City
2017,NA,NA,Grundy's Gardens,Inside ,NA,5,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Grundy's Gardens
2017,NA,NA,Grundy's Gardens,Inside ,NA,9,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Grundy's Gardens
2017,NA,NA,Martha's Finyard,Outside,NA,2,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Martha's Finyard
2017,NA,NA,Martha's Finyard,Outside,NA,10,Black durgeon,30,1,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,565.80869,0.033333333,Martha's Finyard
2017,NA,NA,Mixing Bowl,Inside ,NA,4,Black durgeon,40,2,Melichthys niger,Triggerfish,Omnivore,0.0257,2.94,2636.44972,0.066666667,Sailfin Miniwall
