ID,Site_Name,Depth,Pins,Northing,Easting,Island,Aspect,MPA
236,Ron's Rock,40.0 ft,1,19.66295,-80.111817,Little Cayman,North,Open Zone
237,Martha's Finyard,45.0 ft,1,19.664867,-80.111183,Little Cayman,North,Open Zone
238,Sand Castle,55.0 ft,1,19.6685,-80.107817,Little Cayman,North,Open Zone
239,Bush Gardens,25.0 ft,1,19.6663,-80.106817,Little Cayman,North,Open Zone
240,Fisheye Fantasy,50.0 ft,1,19.670033,-80.106083,Little Cayman,North,Open Zone
241,Jigsaw Puzzle,50.0 ft,1,19.671483,-80.103383,Little Cayman,North,Open Zone
242,Paradise Plunge,48.0 ft,1,19.672467,-80.103383,Little Cayman,North,Open Zone
243,Tibbett's Top,25.0 ft,1,19.67375,-80.100783,Little Cayman,North,Marine Reserve
244,McCoy's Wall,55.0 ft,1,19.67655,-80.0983,Little Cayman,North,Marine Reserve
245,Dot's Hot Spot,21.0 ft,1,19.677133,-80.095483,Little Cayman,North,Marine Reserve
246,Joy's Joy,25.0 ft,2,19.678767,-80.092983,Little Cayman,North,Marine Reserve
247,Baracuda Bight,30.0 ft,1,19.679767,-80.0915,Little Cayman,North,Marine Reserve
248,Coconut Wall,35.0 ft,1,19.680767,-80.089833,Little Cayman,North,Marine Reserve
249,Lea Lea's Lookout,40.0 ft,2,19.681367,-80.0886,Little Cayman,North,Marine Reserve
250,Shear Wall,25.0 ft,1,19.681933,-80.086483,Little Cayman,North,Marine Reserve
251,Great Wall West,20.0 ft,2,19.682333,-80.085467,Little Cayman,North,Marine Reserve
252,Great Wall East,25.0 ft,1,19.682983,-80.08415,Little Cayman,North,Marine Reserve
253,Randy's Gazebo,30.0 ft,2,19.683783,-80.082967,Little Cayman,North,Marine Reserve
254,Donna's Delight,30.0 ft,1,19.6844,-80.0806,Little Cayman,North,Marine Reserve
255,Marylin's Cut,35.0 ft,2,19.684733,-80.079067,Little Cayman,North,Marine Reserve
256,Three Fathom Wall,25.0 ft,2,19.684917,-80.078,Little Cayman,North,Marine Reserve
257,Sailfin Miniwall,20.0 ft,1,19.685267,-80.075667,Little Cayman,North,Marine Reserve
258,Blacktip Blvd.,60.0 ft,1,19.686317,-80.074917,Little Cayman,North,Marine Reserve
259,Sarah's Set,25.0 ft,2,19.687367,-80.072567,Little Cayman,North,Marine Reserve
260,Bus Stop,35.0 ft,1,19.68885,-80.070817,Little Cayman,North,Marine Reserve
261,Cumber's Caves,20.0 ft,2,19.68955,-80.06995,Little Cayman,North,Marine Reserve
262,Paul's Anchor,40.0 ft,1,19.694433,-80.069433,Little Cayman,North,Marine Reserve
263,Jackson Reef & Wall,20.0 ft,2,19.690733,-80.069417,Little Cayman,North,Marine Reserve
264,Eagleray Roundup,20.0 ft,1,19.6912,-80.069267,Little Cayman,North,Marine Reserve
265,Magic Roundabout,40.0 ft,2,19.693583,-80.0692,Little Cayman,North,Marine Reserve
266,Mike's Mountain,25.0 ft,1,19.6928,-80.069067,Little Cayman,North,Marine Reserve
267,Cascades,55.0 ft,1,19.6964,-80.06865,Little Cayman,North,Marine Reserve
268,The Meadows,25.0 ft,2,19.692567,-80.068533,Little Cayman,North,Marine Reserve
269,Rock Bottom Wall,64.0 ft,1,19.702417,-80.056867,Little Cayman,North,Marine Reserve
