Site,Coral No.,OBSERV,TRANSECT,Depth_m,Coral_cover_cm,Sand_Cover_cm,Coral_Spp.,Max  _Diameter_cm,Max_Width_cm,Max_Height_cm,Volume,per_recent,per_Transitional,per_old,Disease_1,Disease_2,Paling,Partial_Bleaching,Bleaching,Damsel_fish,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Species,Total Count,Coral Cover,% Cover,Cover Volume,DS ,WB,WP
ICON,1,SM,1,9.5,10,0,PAST,25,10,10,2500,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,SM,1,9.5,5,0,PFUR,7,7,10,490,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,SM,1,9.5,20,0,AAGA,40,20,30,24000,0,5,20,DS,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,SM,1,9.5,45,0,SSID,50,50,20,50000,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,5,SM,1,9.5,20,0,SSID,25,20,5,2500,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,6,SM,1,9.5,7,0,SSID,30,15,5,2250,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,7,SM,1,9.5,4,0,PFUR,9,5,10,450,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,8,SM,1,9.5,15,0,SSID,27,20,5,2700,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,1,SM,2,9.9,2,0,MALC,15,5,37,2775,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,2,SM,2,9.9,2,0,EFAS,10,3,3,90,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,3,SM,2,9.9,4,0,AAGA,22,22,16,7744,45,0,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,4,SM,2,9.9,5,0,PAST,10,5,3,150,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
