Year,Month,Day,Site,Depth,Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2020,July,29,Marilyns_cut,30,1,GGG,PAST,Porites,astreoides,10.00,10.00,5.00,157.0796327,10,n,NA,0,0,0,0,0,0,0,157.0796327,,
2020,July,29,Marilyns_cut,30,1,GGG,SSID,Siderastrea,siderea,30.00,20.00,15.00,1178.097245,10,n,NA,100,0,0,0,0,0,0,1178.097245,,
2020,July,29,Marilyns_cut,30,1,GGG,PAST,Porites,astreoides,12.00,10.00,10.00,345.5751919,10,n,NA,0,0,0,0,0,0,0,345.5751919,,
2020,July,29,Marilyns_cut,30,1,GGG,PPOR,Porites,porites,25.00,10.00,10.00,549.7787144,10,n,NA,0,0,0,0,0,0,0,549.7787144,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,12.00,5.00,15.00,400.5530633,10,n,NA,0,0,0,0,0,0,0,400.5530633,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,15.00,10.00,5.00,196.3495408,10,n,NA,0,0,0,0,0,20,39.26990817,157.0796327,,
2020,July,29,Marilyns_cut,30,1,GGG,SSID,Siderastrea,siderea,30.00,25.00,10.00,863.9379797,10,n,NA,0,0,0,0,0,0,0,863.9379797,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,15.00,10.00,10.00,392.6990817,10,n,NA,0,0,0,0,0,0,0,392.6990817,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,15.00,10.00,15.00,589.0486225,10,n,NA,0,0,0,0,0,0,0,589.0486225,,
2020,July,29,Marilyns_cut,30,1,GGG,OANN,Orbicella,annularis,20.00,15.00,20.00,1099.557429,10,n,NA,0,0,0,0,0,30,329.8672286,769.6902001,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,20.00,20.00,25.00,1570.796327,10,n,NA,0,0,0,0,0,40,628.3185307,942.4777961,,
2020,July,29,Marilyns_cut,30,1,GGG,PPOR,Porites,porites,15.00,15.00,10.00,471.238898,10,n,NA,0,0,0,0,0,0,0,471.238898,,
2020,July,29,Marilyns_cut,30,1,GGG,OFRA,Orbicella,franksi,30.00,15.00,20.00,1413.716694,10,n,NA,0,0,0,0,0,0,0,1413.716694,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,35.00,20.00,30.00,2591.813939,10,n,NA,0,0,0,0,0,80,2073.451151,518.3627878,,
2020,July,29,Marilyns_cut,30,1,GGG,OFRA,Orbicella,franksi,15.00,10.00,10.00,392.6990817,10,n,NA,0,0,0,0,0,0,0,392.6990817,,
2020,July,29,Marilyns_cut,30,1,GGG,EFAS,Eusmilia,fastigiata,10.00,5.00,5.00,117.8097245,10,n,NA,0,0,0,0,0,0,0,117.8097245,,
2020,July,29,Marilyns_cut,30,1,GGG,SSID,Siderastrea,siderea,15.00,12.00,5.00,212.0575041,10,n,NA,0,0,0,0,0,0,0,212.0575041,,
2020,July,29,Marilyns_cut,30,1,GGG,SSID,Siderastrea,siderea,15.00,12.00,5.00,212.0575041,10,n,NA,0,0,0,0,0,0,0,212.0575041,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,15.00,10.00,10.00,392.6990817,10,n,NA,0,0,0,0,0,40,157.0796327,235.619449,,
2020,July,29,Marilyns_cut,30,1,GGG,AAGA,Agaricia,agaricites,30.00,20.00,1.00,78.53981634,10,n,NA,0,0,0,0,0,0,0,78.53981634,,
2020,July,29,Marilyns_cut,30,1,GGG,OANN,Orbicella,annularis,45.00,25.00,15.00,1649.336143,10,n,NA,0,0,0,0,0,25,412.3340358,1237.002107,,
