Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2021,June,28,Marthas,38,GGG,1,1,coral,1
2021,June,28,Marthas,38,GGG,1,1,cca,5
2021,June,28,Marthas,38,GGG,1,1,macro_algae,90
2021,June,28,Marthas,38,GGG,1,1,turf_algae,4
2021,June,28,Marthas,38,GGG,1,1,sand,0
2021,June,28,Marthas,38,GGG,1,1,other,0
2021,June,28,Marthas,38,GGG,1,2,coral,40
2021,June,28,Marthas,38,GGG,1,2,cca,15
2021,June,28,Marthas,38,GGG,1,2,macro_algae,35
2021,June,28,Marthas,38,GGG,1,2,turf_algae,10
2021,June,28,Marthas,38,GGG,1,2,sand,0
2021,June,28,Marthas,38,GGG,1,2,other,0
2021,June,28,Marthas,38,GGG,1,3,coral,40
2021,June,28,Marthas,38,GGG,1,3,cca,25
2021,June,28,Marthas,38,GGG,1,3,macro_algae,25
2021,June,28,Marthas,38,GGG,1,3,turf_algae,10
2021,June,28,Marthas,38,GGG,1,3,sand,0
2021,June,28,Marthas,38,GGG,1,3,other,0
2021,June,28,Marthas,38,GGG,1,4,coral,30
2021,June,28,Marthas,38,GGG,1,4,cca,15
2021,June,28,Marthas,38,GGG,1,4,macro_algae,40
2021,June,28,Marthas,38,GGG,1,4,turf_algae,15
2021,June,28,Marthas,38,GGG,1,4,sand,0
2021,June,28,Marthas,38,GGG,1,4,other,0
2021,June,28,Marthas,38,GGG,1,5,coral,80
2021,June,28,Marthas,38,GGG,1,5,cca,5
2021,June,28,Marthas,38,GGG,1,5,macro_algae,15
2021,June,28,Marthas,38,GGG,1,5,turf_algae,0
2021,June,28,Marthas,38,GGG,1,5,sand,0
2021,June,28,Marthas,38,GGG,1,5,other,0
2021,June,28,Marilyns Cut,33,GGG,1,1,coral,10
2021,June,28,Marilyns Cut,33,GGG,1,1,cca,20
2021,June,28,Marilyns Cut,33,GGG,1,1,macro_algae,10
2021,June,28,Marilyns Cut,33,GGG,1,1,turf_algae,60
2021,June,28,Marilyns Cut,33,GGG,1,1,sand,0
2021,June,28,Marilyns Cut,33,GGG,1,1,other,0
2021,June,28,Marilyns Cut,33,GGG,1,2,coral,30
2021,June,28,Marilyns Cut,33,GGG,1,2,cca,15
2021,June,28,Marilyns Cut,33,GGG,1,2,macro_algae,15
2021,June,28,Marilyns Cut,33,GGG,1,2,turf_algae,40
2021,June,28,Marilyns Cut,33,GGG,1,2,sand,0
2021,June,28,Marilyns Cut,33,GGG,1,2,other,0
2021,June,28,Marilyns Cut,33,GGG,1,3,coral,25
2021,June,28,Marilyns Cut,33,GGG,1,3,cca,10
2021,June,28,Marilyns Cut,33,GGG,1,3,macro_algae,50
2021,June,28,Marilyns Cut,33,GGG,1,3,turf_algae,15
2021,June,28,Marilyns Cut,33,GGG,1,3,sand,0
2021,June,28,Marilyns Cut,33,GGG,1,3,sponge,20
2021,June,28,Marilyns Cut,33,GGG,1,4,coral,20
2021,June,28,Marilyns Cut,33,GGG,1,4,cca,20
2021,June,28,Marilyns Cut,33,GGG,1,4,macro_algae,15
