Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2022,September,3,Coral City,31,AM,1,1,coral,25
2022,September,3,Coral City,31,AM,1,1,cca,15
2022,September,3,Coral City,31,AM,1,1,macro_algae,15
2022,September,3,Coral City,31,AM,1,1,turf_algae,2
2022,September,3,Coral City,31,AM,1,1,sand,0
2022,September,3,Coral City,31,AM,1,1,other,43
2022,September,3,Coral City,31,AM,1,2,coral,25
2022,September,3,Coral City,31,AM,1,2,cca,10
2022,September,3,Coral City,31,AM,1,2,macro_algae,40
2022,September,3,Coral City,31,AM,1,2,turf_algae,0
2022,September,3,Coral City,31,AM,1,2,sand,0
2022,September,3,Coral City,31,AM,1,2,other,25
2022,September,3,Coral City,31,AM,1,3,coral,30
2022,September,3,Coral City,31,AM,1,3,cca,0
2022,September,3,Coral City,31,AM,1,3,macro_algae,10
2022,September,3,Coral City,31,AM,1,3,turf_algae,0
2022,September,3,Coral City,31,AM,1,3,sand,10
2022,September,3,Coral City,31,AM,1,3,other,50
2022,September,3,Coral City,31,AM,1,4,coral,0
2022,September,3,Coral City,31,AM,1,4,cca,20
2022,September,3,Coral City,31,AM,1,4,macro_algae,15
2022,September,3,Coral City,31,AM,1,4,turf_algae,0
2022,September,3,Coral City,31,AM,1,4,sand,65
2022,September,3,Coral City,31,AM,1,4,other,0
2022,September,3,Coral City,31,AM,1,5,coral,30
2022,September,3,Coral City,31,AM,1,5,cca,10
2022,September,3,Coral City,31,AM,1,5,macro_algae,50
2022,September,3,Coral City,31,AM,1,5,turf_algae,0
2022,September,3,Coral City,31,AM,1,5,sand,10
2022,September,3,Coral City,31,AM,1,5,other,0
2022,September,3,Westpoint,32,AM,1,1,coral,0
2022,September,3,Westpoint,32,AM,1,1,cca,50
2022,September,3,Westpoint,32,AM,1,1,macro_algae,10
2022,September,3,Westpoint,32,AM,1,1,turf_algae,10
2022,September,3,Westpoint,32,AM,1,1,sand,30
2022,September,3,Westpoint,32,AM,1,1,other,0
2022,September,3,Westpoint,32,AM,1,2,coral,10
2022,September,3,Westpoint,32,AM,1,2,cca,30
2022,September,3,Westpoint,32,AM,1,2,macro_algae,20
2022,September,3,Westpoint,32,AM,1,2,turf_algae,0
2022,September,3,Westpoint,32,AM,1,2,sand,25
2022,September,3,Westpoint,32,AM,1,2,other,15
2022,September,3,Westpoint,32,AM,1,3,coral,25
2022,September,3,Westpoint,32,AM,1,3,cca,5
2022,September,3,Westpoint,32,AM,1,3,macro_algae,20
2022,September,3,Westpoint,32,AM,1,3,turf_algae,5
2022,September,3,Westpoint,32,AM,1,3,sand,30
2022,September,3,Westpoint,32,AM,1,3,other,15
2022,September,3,Westpoint,32,AM,1,4,coral,60
2022,September,3,Westpoint,32,AM,1,4,cca,0
2022,September,3,Westpoint,32,AM,1,4,macro_algae,5
2022,September,3,Westpoint,32,AM,1,4,turf_algae,0
2022,September,3,Westpoint,32,AM,1,4,sand,20
2022,September,3,Westpoint,32,AM,1,4,other,15
2022,September,3,Westpoint,32,AM,1,5,coral,0
2022,September,3,Westpoint,32,AM,1,5,cca,30
2022,September,3,Westpoint,32,AM,1,5,macro_algae,30
2022,September,3,Westpoint,32,AM,1,5,turf_algae,5
2022,September,3,Westpoint,32,AM,1,5,sand,5
2022,September,3,Westpoint,32,AM,1,5,other,20
2022,September,3,Grundys,32,AM,1,1,coral,50
2022,September,3,Grundys,32,AM,1,1,cca,0
2022,September,3,Grundys,32,AM,1,1,macro_algae,15
2022,September,3,Grundys,32,AM,1,1,turf_algae,10
2022,September,3,Grundys,32,AM,1,1,sand,0
2022,September,3,Grundys,32,AM,1,1,other,25
2022,September,3,Grundys,32,AM,1,2,coral,5
2022,September,3,Grundys,32,AM,1,2,cca,0
2022,September,3,Grundys,32,AM,1,2,macro_algae,30
2022,September,3,Grundys,32,AM,1,2,turf_algae,0
2022,September,3,Grundys,32,AM,1,2,sand,0
2022,September,3,Grundys,32,AM,1,2,other,60
2022,September,3,Grundys,32,AM,1,3,coral,15
2022,September,3,Grundys,32,AM,1,3,cca,5
2022,September,3,Grundys,32,AM,1,3,macro_algae,15
2022,September,3,Grundys,32,AM,1,3,turf_algae,10
2022,September,3,Grundys,32,AM,1,3,sand,0
2022,September,3,Grundys,32,AM,1,3,other,55
2022,September,3,Grundys,32,AM,1,4,coral,20
2022,September,3,Grundys,32,AM,1,4,cca,15
2022,September,3,Grundys,32,AM,1,4,macro_algae,20
2022,September,3,Grundys,32,AM,1,4,turf_algae,0
2022,September,3,Grundys,32,AM,1,4,sand,0
2022,September,3,Grundys,32,AM,1,4,other,45
2022,September,3,Grundys,32,AM,1,5,coral,0
2022,September,3,Grundys,32,AM,1,5,cca,0
2022,September,3,Grundys,32,AM,1,5,macro_algae,15
2022,September,3,Grundys,32,AM,1,5,turf_algae,80
2022,September,3,Grundys,32,AM,1,5,sand,0
2022,September,3,Grundys,32,AM,1,5,other,5
2022,September,4,Sailfin,35,AM,1,1,coral,50
2022,September,4,Sailfin,35,AM,1,1,cca,10
2022,September,4,Sailfin,35,AM,1,1,macro_algae,5
2022,September,4,Sailfin,35,AM,1,1,turf_algae,0
2022,September,4,Sailfin,35,AM,1,1,sand,35
2022,September,4,Sailfin,35,AM,1,1,other,0
2022,September,4,Sailfin,35,AM,1,2,coral,0
2022,September,4,Sailfin,35,AM,1,2,cca,5
2022,September,4,Sailfin,35,AM,1,2,macro_algae,25
2022,September,4,Sailfin,35,AM,1,2,turf_algae,10
2022,September,4,Sailfin,35,AM,1,2,sand,60
2022,September,4,Sailfin,35,AM,1,2,other,0
2022,September,4,Sailfin,35,AM,1,3,coral,0
2022,September,4,Sailfin,35,AM,1,3,cca,0
2022,September,4,Sailfin,35,AM,1,3,macro_algae,15
2022,September,4,Sailfin,35,AM,1,3,turf_algae,0
2022,September,4,Sailfin,35,AM,1,3,sand,60
2022,September,4,Sailfin,35,AM,1,3,other,25
2022,September,4,Sailfin,35,AM,1,4,coral,5
2022,September,4,Sailfin,35,AM,1,4,cca,0
2022,September,4,Sailfin,35,AM,1,4,macro_algae,5
2022,September,4,Sailfin,35,AM,1,4,turf_algae,0
2022,September,4,Sailfin,35,AM,1,4,sand,90
2022,September,4,Sailfin,35,AM,1,4,other,0
2022,September,4,Sailfin,35,AM,1,5,coral,0
2022,September,4,Sailfin,35,AM,1,5,cca,10
2022,September,4,Sailfin,35,AM,1,5,macro_algae,10
2022,September,4,Sailfin,35,AM,1,5,turf_algae,0
2022,September,4,Sailfin,35,AM,1,5,sand,0
2022,September,4,Sailfin,35,AM,1,5,other,5
2022,September,4,Snapshot,33,AM,1,1,coral,30
2022,September,4,Snapshot,33,AM,1,1,cca,10
2022,September,4,Snapshot,33,AM,1,1,macro_algae,5
2022,September,4,Snapshot,33,AM,1,1,turf_algae,5
2022,September,4,Snapshot,33,AM,1,1,sand,0
2022,September,4,Snapshot,33,AM,1,1,other,50
2022,September,4,Snapshot,33,AM,1,2,coral,0
2022,September,4,Snapshot,33,AM,1,2,cca,10
2022,September,4,Snapshot,33,AM,1,2,macro_algae,15
2022,September,4,Snapshot,33,AM,1,2,turf_algae,10
2022,September,4,Snapshot,33,AM,1,2,sand,0
2022,September,4,Snapshot,33,AM,1,2,other,65
2022,September,4,Snapshot,33,AM,1,3,coral,10
2022,September,4,Snapshot,33,AM,1,3,cca,5
2022,September,4,Snapshot,33,AM,1,3,macro_algae,15
2022,September,4,Snapshot,33,AM,1,3,turf_algae,0
2022,September,4,Snapshot,33,AM,1,3,sand,0
2022,September,4,Snapshot,33,AM,1,3,other,75
2022,September,4,Snapshot,33,AM,1,4,coral,0
2022,September,4,Snapshot,33,AM,1,4,cca,15
2022,September,4,Snapshot,33,AM,1,4,macro_algae,0
2022,September,4,Snapshot,33,AM,1,4,turf_algae,0
2022,September,4,Snapshot,33,AM,1,4,sand,20
2022,September,4,Snapshot,33,AM,1,4,other,65
