Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2022,9,3,Coral City,36,GGG,2,1,coral,0
2022,9,3,Coral City,36,GGG,2,1,cca,65
2022,9,3,Coral City,36,GGG,2,1,macro_algae,10
2022,9,3,Coral City,36,GGG,2,1,turf_algae,15
2022,9,3,Coral City,36,GGG,2,1,sand,20
2022,9,3,Coral City,36,GGG,2,2,coral,85
2022,9,3,Coral City,36,GGG,2,2,cca,5
2022,9,3,Coral City,36,GGG,2,2,macro_algae,10
2022,9,3,Coral City,36,GGG,2,2,turf_algae,0
2022,9,3,Coral City,36,GGG,2,2,sand,0
2022,9,3,Coral City,36,GGG,2,2,other,0
2022,9,3,Coral City,36,GGG,2,3,coral,60
2022,9,3,Coral City,36,GGG,2,3,cca,5
2022,9,3,Coral City,36,GGG,2,3,macro_algae,30
2022,9,3,Coral City,36,GGG,2,3,turf_algae,5
2022,9,3,Coral City,36,GGG,2,3,sand,0
2022,9,3,Coral City,36,GGG,2,3,other,0
2022,9,3,Coral City,36,GGG,2,4,coral,2
2022,9,3,Coral City,36,GGG,2,4,cca,5
2022,9,3,Coral City,36,GGG,2,4,macro_algae,70
2022,9,3,Coral City,36,GGG,2,4,turf_algae,15
2022,9,3,Coral City,36,GGG,2,4,sand,8
2022,9,3,Coral City,36,GGG,2,4,other,0
2022,9,3,Coral City,36,GGG,2,5,coral,85
2022,9,3,Coral City,36,GGG,2,5,cca,5
2022,9,3,Coral City,36,GGG,2,5,macro_algae,5
2022,9,3,Coral City,36,GGG,2,5,turf_algae,0
2022,9,3,Coral City,36,GGG,2,5,sand,5
2022,9,3,Coral City,36,GGG,2,5,other,0
2022,9,3,Coral City,33,GGG,1,1,coral,5
2022,9,3,Coral City,33,GGG,1,1,cca,20
2022,9,3,Coral City,33,GGG,1,1,macro_algae,25
2022,9,3,Coral City,33,GGG,1,1,turf_algae,10
2022,9,3,Coral City,33,GGG,1,1,sand,40
2022,9,3,Coral City,33,GGG,1,1,other,0
2022,9,3,Coral City,33,GGG,1,2,coral,45
2022,9,3,Coral City,33,GGG,1,2,cca,5
2022,9,3,Coral City,33,GGG,1,2,macro_algae,10
2022,9,3,Coral City,33,GGG,1,2,turf_algae,20
2022,9,3,Coral City,33,GGG,1,2,sand,20
2022,9,3,Coral City,33,GGG,1,2,other,0
2022,9,3,Coral City,33,GGG,1,3,coral,10
2022,9,3,Coral City,33,GGG,1,3,cca,10
2022,9,3,Coral City,33,GGG,1,3,macro_algae,20
2022,9,3,Coral City,33,GGG,1,3,turf_algae,10
2022,9,3,Coral City,33,GGG,1,3,sand,50
2022,9,3,Coral City,33,GGG,1,3,other,0
2022,9,3,Coral City,33,GGG,1,4,coral,80
2022,9,3,Coral City,33,GGG,1,4,cca,10
2022,9,3,Coral City,33,GGG,1,4,macro_algae,10
2022,9,3,Coral City,33,GGG,1,4,turf_algae,0
2022,9,3,Coral City,33,GGG,1,4,sand,0
2022,9,3,Coral City,33,GGG,1,4,other,0
2022,9,3,Coral City,33,GGG,1,5,coral,10
2022,9,3,Coral City,33,GGG,1,5,cca,30
2022,9,3,Coral City,33,GGG,1,5,macro_algae,25
2022,9,3,Coral City,33,GGG,1,5,turf_algae,25
2022,9,3,Coral City,33,GGG,1,5,sand,10
2022,9,3,Coral City,33,GGG,1,5,other,0
2022,9,3,Grundys,30,GGG,1,1,coral,30
2022,9,3,Grundys,30,GGG,1,1,cca,30
2022,9,3,Grundys,30,GGG,1,1,macro_algae,15
2022,9,3,Grundys,30,GGG,1,1,turf_algae,10
2022,9,3,Grundys,30,GGG,1,1,sand,0
2022,9,3,Grundys,30,GGG,1,1,other,15
2022,9,3,Grundys,30,GGG,1,2,coral,25
2022,9,3,Grundys,30,GGG,1,2,cca,40
2022,9,3,Grundys,30,GGG,1,2,macro_algae,5
2022,9,3,Grundys,30,GGG,1,2,turf_algae,30
2022,9,3,Grundys,30,GGG,1,2,sand,0
2022,9,3,Grundys,30,GGG,1,2,other,0
2022,9,3,Grundys,30,GGG,1,3,coral,5
2022,9,3,Grundys,30,GGG,1,3,cca,85
2022,9,3,Grundys,30,GGG,1,3,macro_algae,5
2022,9,3,Grundys,30,GGG,1,3,turf_algae,5
2022,9,3,Grundys,30,GGG,1,3,sand,0
2022,9,3,Grundys,30,GGG,1,3,other,0
2022,9,3,Grundys,30,GGG,1,4,coral,100
2022,9,3,Grundys,30,GGG,1,4,cca,0
2022,9,3,Grundys,30,GGG,1,4,macro_algae,0
2022,9,3,Grundys,30,GGG,1,4,turf_algae,0
2022,9,3,Grundys,30,GGG,1,4,sand,0
2022,9,3,Grundys,30,GGG,1,4,other,0
2022,9,3,Grundys,30,GGG,1,5,coral,10
2022,9,3,Grundys,30,GGG,1,5,cca,50
2022,9,3,Grundys,30,GGG,1,5,macro_algae,20
2022,9,3,Grundys,30,GGG,1,5,turf_algae,20
2022,9,3,Grundys,30,GGG,1,5,sand,0
2022,9,3,Grundys,30,GGG,1,5,other,0
2022,9,3,Grundys,30,GGG,2,1,coral,50
2022,9,3,Grundys,30,GGG,2,1,cca,15
2022,9,3,Grundys,30,GGG,2,1,macro_algae,20
