Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2023,jul,3,Coral City,10,Haley Davis,1,1,coral,10
2023,jul,3,Coral City,10,Haley Davis,1,1,macro_algae,40
2023,jul,3,Coral City,10,Haley Davis,1,1,turf_algae,30
2023,jul,3,Coral City,10,Haley Davis,1,1,other,20
2023,jul,3,Coral City,10,Haley Davis,1,2,coral,5
2023,jul,3,Coral City,10,Haley Davis,1,2,cca,15
2023,jul,3,Coral City,10,Haley Davis,1,2,macro_algae,20
2023,jul,3,Coral City,10,Haley Davis,1,2,turf_algae,40
2023,jul,3,Coral City,10,Haley Davis,1,3,coral,20
2023,jul,3,Coral City,10,Haley Davis,1,3,cca,20
2023,jul,3,Coral City,10,Haley Davis,1,3,macro_algae,20
2023,jul,3,Coral City,10,Haley Davis,1,3,turf_algae,20
2023,jul,3,Coral City,10,Haley Davis,1,3,sand,20
2023,jul,3,Coral City,10,Haley Davis,1,4,coral,40
2023,jul,3,Coral City,10,Haley Davis,1,4,cca,20
2023,jul,3,Coral City,10,Haley Davis,1,4,turf_algae,20
2023,jul,3,Coral City,10,Haley Davis,1,4,macro_algae,20
2023,jul,3,Coral City,10,Haley Davis,1,5,coral,100
2023,jul,3,Grundys,9,Haley Davis,1,1,coral,15
2023,jul,3,Grundys,9,Haley Davis,1,1,macro_algae,50
2023,jul,3,Grundys,9,Haley Davis,1,1,turf_algae,35
2023,jul,3,Grundys,9,Haley Davis,1,2,coral,10
2023,jul,3,Grundys,9,Haley Davis,1,2,cca,70
2023,jul,3,Grundys,9,Haley Davis,1,2,macro_algae,10
2023,jul,3,Grundys,9,Haley Davis,1,2,sand,10
2023,jul,3,Grundys,9,Haley Davis,1,3,coral,5
2023,jul,3,Grundys,9,Haley Davis,1,3,macro_algae,85
2023,jul,3,Grundys,9,Haley Davis,1,3,other,10
2023,jul,3,Grundys,9,Haley Davis,1,4,coral,20
2023,jul,3,Grundys,9,Haley Davis,1,4,macro_algae,50
2023,jul,3,Grundys,9,Haley Davis,1,4,turf_algae,20
2023,jul,3,Grundys,9,Haley Davis,1,4,sponge,10
2023,jul,3,Grundys,9,Haley Davis,1,5,macro_algae,10
2023,jul,3,Grundys,9,Haley Davis,1,5,turf_algae,90
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,1,coral,25
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,1,macro_algae,30
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,1,sand,30
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,1,sponge,15
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,2,coral,20
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,2,macro_algae,10
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,2,sand,65
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,2,sponge,5
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,3,coral,5
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,3,macro_algae,35
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,3,sand,60
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,4,coral,15
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,4,macro_algae,75
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,4,sand,10
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,5,coral,5
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,5,macro_algae,20
2023,jul,3,Westpoint,12.12121212,Haley Davis,1,5,sand,75
2023,jul,4,Marthas,10.90909091,Haley Davis,1,1,coral,50
2023,jul,4,Marthas,10.90909091,Haley Davis,1,1,cca,25
2023,jul,4,Marthas,10.90909091,Haley Davis,1,1,macro_algae,25
2023,jul,4,Marthas,10.90909091,Haley Davis,1,2,macro_algae,95
2023,jul,4,Marthas,10.90909091,Haley Davis,1,2,soft_coral,5
2023,jul,4,Marthas,10.90909091,Haley Davis,1,3,coral,50
2023,jul,4,Marthas,10.90909091,Haley Davis,1,3,macro_algae,50
2023,jul,4,Marthas,10.90909091,Haley Davis,1,4,coral,30
2023,jul,4,Marthas,10.90909091,Haley Davis,1,4,cca,20
2023,jul,4,Marthas,10.90909091,Haley Davis,1,4,macro_algae,60
2023,jul,4,Marthas,10.90909091,Haley Davis,1,5,coral,50
2023,jul,4,Marthas,10.90909091,Haley Davis,1,5,macro_algae,45
2023,jul,4,Marthas,10.90909091,Haley Davis,1,5,sponge,5
2023,jul,4,Jigsaw,11.52,Haley Davis,1,1,coral,95
2023,jul,4,Jigsaw,11.52,Haley Davis,1,1,turf_algae,5
2023,jul,4,Jigsaw,11.52,Haley Davis,1,2,coral,5
2023,jul,4,Jigsaw,11.52,Haley Davis,1,2,macro_algae,90
2023,jul,4,Jigsaw,11.52,Haley Davis,1,2,soft_coral,5
2023,jul,4,Jigsaw,11.52,Haley Davis,1,3,coral,30
2023,jul,4,Jigsaw,11.52,Haley Davis,1,3,cca,20
2023,jul,4,Jigsaw,11.52,Haley Davis,1,3,macro_algae,35
2023,jul,4,Jigsaw,11.52,Haley Davis,1,3,sand,10
2023,jul,4,Jigsaw,11.52,Haley Davis,1,3,sponge,5
2023,jul,4,Jigsaw,11.52,Haley Davis,1,4,coral,80
2023,jul,4,Jigsaw,11.52,Haley Davis,1,4,macro_algae,20
2023,jul,4,Jigsaw,11.52,Haley Davis,1,5,coral,5
2023,jul,4,Jigsaw,11.52,Haley Davis,1,5,macro_algae,20
2023,jul,4,Jigsaw,11.52,Haley Davis,1,5,sand,60
2023,jul,4,Jigsaw,11.52,Haley Davis,1,5,other,15
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,1,coral,5
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,1,macro_algae,50
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,1,sand,40
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,1,other,5
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,2,coral,35
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,2,cca,10
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,2,macro_algae,40
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,2,other,15
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,3,coral,50
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,3,cca,10
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,3,macro_algae,30
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,3,sand,5
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,3,other,5
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,4,macro_algae,30
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,4,turf_algae,10
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,4,sand,60
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,5,coral,5
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,5,cca,5
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,5,macro_algae,70
2023,jul,4,Marilyns Cut,8.79,Haley Davis,1,5,sand,20
2023,jul,4,Meadows,7.88,Haley Davis,1,1,coral,60
2023,jul,4,Meadows,7.88,Haley Davis,1,1,cca,10
2023,jul,4,Meadows,7.88,Haley Davis,1,1,macro_algae,20
2023,jul,4,Meadows,7.88,Haley Davis,1,1,other,10
