Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2023,July,3,Coral City,36,JLR,1,1,coral,0
2023,July,3,Coral City,36,JLR,1,1,cca,0
2023,July,3,Coral City,36,JLR,1,1,macro_algae,30
2023,July,3,Coral City,36,JLR,1,1,turf_algae,20
2023,July,3,Coral City,36,JLR,1,1,sand,40
2023,July,3,Coral City,36,JLR,1,1,other,10
2023,July,3,Coral City,36,JLR,1,3,coral,5
2023,July,3,Coral City,36,JLR,1,3,cca,0
2023,July,3,Coral City,36,JLR,1,3,macro_algae,40
2023,July,3,Coral City,36,JLR,1,3,turf_algae,30
2023,July,3,Coral City,36,JLR,1,3,sand,30
2023,July,3,Coral City,36,JLR,1,3,other,0
2023,July,3,Coral City,36,JLR,1,5,coral,30
2023,July,3,Coral City,36,JLR,1,5,cca,0
2023,July,3,Coral City,36,JLR,1,5,macro_algae,30
2023,July,3,Coral City,36,JLR,1,5,turf_algae,30
2023,July,3,Coral City,36,JLR,1,5,sand,10
2023,July,3,Coral City,36,JLR,1,5,other,0
2023,July,3,Coral City,36,JLR,1,7,coral,20
2023,July,3,Coral City,36,JLR,1,7,cca,0
2023,July,3,Coral City,36,JLR,1,7,macro_algae,0
2023,July,3,Coral City,36,JLR,1,7,turf_algae,50
2023,July,3,Coral City,36,JLR,1,7,sand,0
2023,July,3,Coral City,36,JLR,1,7,other,30
2023,July,3,Coral City,36,JLR,1,9,coral,90
2023,July,3,Coral City,36,JLR,1,9,cca,0
2023,July,3,Coral City,36,JLR,1,9,macro_algae,10
2023,July,3,Coral City,36,JLR,1,9,turf_algae,0
2023,July,3,Coral City,36,JLR,1,9,sand,0
2023,July,3,Coral City,36,JLR,1,9,other,0
2023,July,3,Grundys,32,JLR,1,1,coral,40
2023,July,3,Grundys,32,JLR,1,1,cca,0
2023,July,3,Grundys,32,JLR,1,1,macro_algae,10
2023,July,3,Grundys,32,JLR,1,1,turf_algae,20
2023,July,3,Grundys,32,JLR,1,1,sand,0
2023,July,3,Grundys,32,JLR,1,1,other,30
2023,July,3,Grundys,32,JLR,1,3,coral,50
2023,July,3,Grundys,32,JLR,1,3,cca,0
2023,July,3,Grundys,32,JLR,1,3,macro_algae,50
2023,July,3,Grundys,32,JLR,1,3,turf_algae,0
2023,July,3,Grundys,32,JLR,1,3,sand,0
2023,July,3,Grundys,32,JLR,1,3,other,0
2023,July,3,Grundys,32,JLR,1,5,coral,20
2023,July,3,Grundys,32,JLR,1,5,cca,
2023,July,3,Grundys,32,JLR,1,5,macro_algae,70
2023,July,3,Grundys,32,JLR,1,5,turf_algae,10
2023,July,3,Grundys,32,JLR,1,5,sand,0
2023,July,3,Grundys,32,JLR,1,5,other,0
2023,July,3,Grundys,32,JLR,1,7,coral,5
2023,July,3,Grundys,32,JLR,1,7,cca,0
2023,July,3,Grundys,32,JLR,1,7,macro_algae,90
2023,July,3,Grundys,32,JLR,1,7,turf_algae,0
2023,July,3,Grundys,32,JLR,1,7,sand,0
2023,July,3,Grundys,32,JLR,1,7,other,5
2023,July,3,Grundys,32,JLR,1,9,coral,90
2023,July,3,Grundys,32,JLR,1,9,cca,0
2023,July,3,Grundys,32,JLR,1,9,macro_algae,10
2023,July,3,Grundys,32,JLR,1,9,turf_algae,0
2023,July,3,Grundys,32,JLR,1,9,sand,0
2023,July,3,Grundys,32,JLR,1,9,other,0
2023,July,3,Westpoint,43,JLR,1,1,coral,10
2023,July,3,Westpoint,43,JLR,1,1,cca,0
