Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2023,7,4,Jigsaw,12.8,KE,1,1,coral,10
2023,7,4,Jigsaw,12.8,KE,1,1,cca,5
2023,7,4,Jigsaw,12.8,KE,1,1,macro_algae,70
2023,7,4,Jigsaw,12.8,KE,1,1,turf_algae,10
2023,7,4,Jigsaw,12.8,KE,1,1,sand,0
2023,7,4,Jigsaw,12.8,KE,1,1,other,5
2023,7,4,Jigsaw,12.8,KE,1,3,coral,25
2023,7,4,Jigsaw,12.8,KE,1,3,cca,10
2023,7,4,Jigsaw,12.8,KE,1,3,macro_algae,10
2023,7,4,Jigsaw,12.8,KE,1,3,turf_algae,30
2023,7,4,Jigsaw,12.8,KE,1,3,sand,20
2023,7,4,Jigsaw,12.8,KE,1,3,other,5
2023,7,4,Jigsaw,12.8,KE,1,5,coral,50
2023,7,4,Jigsaw,12.8,KE,1,5,cca,5
2023,7,4,Jigsaw,12.8,KE,1,5,macro_algae,15
2023,7,4,Jigsaw,12.8,KE,1,5,turf_algae,15
2023,7,4,Jigsaw,12.8,KE,1,5,sand,5
2023,7,4,Jigsaw,12.8,KE,1,5,other,10
2023,7,4,Jigsaw,12.8,KE,1,7,coral,0
2023,7,4,Jigsaw,12.8,KE,1,7,cca,10
2023,7,4,Jigsaw,12.8,KE,1,7,macro_algae,50
2023,7,4,Jigsaw,12.8,KE,1,7,turf_algae,30
2023,7,4,Jigsaw,12.8,KE,1,7,sand,10
2023,7,4,Jigsaw,12.8,KE,1,7,other,0
2023,7,4,Jigsaw,12.8,KE,1,9,coral,15
2023,7,4,Jigsaw,12.8,KE,1,9,cca,20
2023,7,4,Jigsaw,12.8,KE,1,9,macro_algae,20
2023,7,4,Jigsaw,12.8,KE,1,9,turf_algae,25
2023,7,4,Jigsaw,12.8,KE,1,9,sand,10
2023,7,4,Jigsaw,12.8,KE,1,9,other,10
2023,7,4,Marilyns Cut,10,KE,1,1,coral,20
2023,7,4,Marilyns Cut,10,KE,1,1,cca,5
2023,7,4,Marilyns Cut,10,KE,1,1,macro_algae,40
2023,7,4,Marilyns Cut,10,KE,1,1,turf_algae,25
2023,7,4,Marilyns Cut,10,KE,1,1,sand,0
2023,7,4,Marilyns Cut,10,KE,1,1,other,10
2023,7,4,Marilyns Cut,10,KE,1,3,coral,25
2023,7,4,Marilyns Cut,10,KE,1,3,cca,0
2023,7,4,Marilyns Cut,10,KE,1,3,macro_algae,35
2023,7,4,Marilyns Cut,10,KE,1,3,turf_algae,30
2023,7,4,Marilyns Cut,10,KE,1,3,sand,5
2023,7,4,Marilyns Cut,10,KE,1,3,other,5
2023,7,4,Marilyns Cut,10,KE,1,5,coral,25
2023,7,4,Marilyns Cut,10,KE,1,5,cca,5
2023,7,4,Marilyns Cut,10,KE,1,5,macro_algae,5
2023,7,4,Marilyns Cut,10,KE,1,5,turf_algae,45
2023,7,4,Marilyns Cut,10,KE,1,5,sand,10
2023,7,4,Marilyns Cut,10,KE,1,5,other,10
2023,7,4,Marilyns Cut,10,KE,1,7,coral,0
2023,7,4,Marilyns Cut,10,KE,1,7,cca,5
2023,7,4,Marilyns Cut,10,KE,1,7,macro_algae,10
2023,7,4,Marilyns Cut,10,KE,1,7,turf_algae,80
2023,7,4,Marilyns Cut,10,KE,1,7,sand,5
2023,7,4,Marilyns Cut,10,KE,1,7,other,0
2023,7,4,Marilyns Cut,10,KE,1,9,coral,20
2023,7,4,Marilyns Cut,10,KE,1,9,cca,0
2023,7,4,Marilyns Cut,10,KE,1,9,macro_algae,10
2023,7,4,Marilyns Cut,10,KE,1,9,turf_algae,65
2023,7,4,Marilyns Cut,10,KE,1,9,sand,0
2023,7,4,Marilyns Cut,10,KE,1,9,other,5
2023,7,4,Meadows,7,KE,1,1,coral,90
2023,7,4,Meadows,7,KE,1,1,cca,0
2023,7,4,Meadows,7,KE,1,1,macro_algae,10
2023,7,4,Meadows,7,KE,1,1,turf_algae,0
2023,7,4,Meadows,7,KE,1,1,sand,0
2023,7,4,Meadows,7,KE,1,1,other,0
2023,7,4,Meadows,7,KE,1,3,coral,55
2023,7,4,Meadows,7,KE,1,3,cca,5
2023,7,4,Meadows,7,KE,1,3,macro_algae,20
2023,7,4,Meadows,7,KE,1,3,turf_algae,15
2023,7,4,Meadows,7,KE,1,3,sand,0
2023,7,4,Meadows,7,KE,1,3,other,5
2023,7,4,Meadows,7,KE,1,5,coral,50
2023,7,4,Meadows,7,KE,1,5,cca,5
2023,7,4,Meadows,7,KE,1,5,macro_algae,0
2023,7,4,Meadows,7,KE,1,5,turf_algae,40
2023,7,4,Meadows,7,KE,1,5,sand,0
2023,7,4,Meadows,7,KE,1,5,other,5
2023,7,4,Meadows,7,KE,1,7,coral,30
2023,7,4,Meadows,7,KE,1,7,cca,5
2023,7,4,Meadows,7,KE,1,7,macro_algae,10
2023,7,4,Meadows,7,KE,1,7,turf_algae,55
2023,7,4,Meadows,7,KE,1,7,sand,0
2023,7,4,Meadows,7,KE,1,7,other,0
2023,7,4,Meadows,7,KE,1,9,coral,15
2023,7,4,Meadows,7,KE,1,9,cca,0
2023,7,4,Meadows,7,KE,1,9,macro_algae,5
2023,7,4,Meadows,7,KE,1,9,turf_algae,75
2023,7,4,Meadows,7,KE,1,9,sand,0
2023,7,4,Meadows,7,KE,1,9,other,5
2023,7,5,Sailfin,10.4,KE,1,1,coral,40
2023,7,5,Sailfin,10.4,KE,1,1,cca,20
2023,7,5,Sailfin,10.4,KE,1,1,macro_algae,10
2023,7,5,Sailfin,10.4,KE,1,1,turf_algae,25
2023,7,5,Sailfin,10.4,KE,1,1,sand,5
2023,7,5,Sailfin,10.4,KE,1,1,other,0
2023,7,5,Sailfin,10.4,KE,1,3,coral,10
2023,7,5,Sailfin,10.4,KE,1,3,cca,5
2023,7,5,Sailfin,10.4,KE,1,3,macro_algae,25
2023,7,5,Sailfin,10.4,KE,1,3,turf_algae,40
2023,7,5,Sailfin,10.4,KE,1,3,sand,10
2023,7,5,Sailfin,10.4,KE,1,3,other,10
2023,7,5,Sailfin,10.4,KE,1,5,coral,10
2023,7,5,Sailfin,10.4,KE,1,5,cca,5
2023,7,5,Sailfin,10.4,KE,1,5,macro_algae,55
