Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,Functional_Group,Perc_cover
2023,7,3,Coral City,10.8,LLG,1,1,coral,25
2023,7,3,Coral City,10.8,LLG,1,1,cca,0
2023,7,3,Coral City,10.8,LLG,1,1,macro_algae,35
2023,7,3,Coral City,10.8,LLG,1,1,turf_algae,0
2023,7,3,Coral City,10.8,LLG,1,1,sand,40
2023,7,3,Coral City,10.8,LLG,1,1,other,0
2023,7,3,Coral City,10.8,LLG,1,2,coral,20
2023,7,3,Coral City,10.8,LLG,1,2,cca,10
2023,7,3,Coral City,10.8,LLG,1,2,macro_algae,40
2023,7,3,Coral City,10.8,LLG,1,2,turf_algae,0
2023,7,3,Coral City,10.8,LLG,1,2,sand,30
2023,7,3,Coral City,10.8,LLG,1,2,other,0
2023,7,3,Coral City,10.8,LLG,1,3,coral,30
2023,7,3,Coral City,10.8,LLG,1,3,cca,25
2023,7,3,Coral City,10.8,LLG,1,3,macro_algae,15
2023,7,3,Coral City,10.8,LLG,1,3,turf_algae,0
2023,7,3,Coral City,10.8,LLG,1,3,sand,0
2023,7,3,Coral City,10.8,LLG,1,3,other,30
2023,7,3,Coral City,10.8,LLG,1,4,coral,10
2023,7,3,Coral City,10.8,LLG,1,4,cca,10
2023,7,3,Coral City,10.8,LLG,1,4,macro_algae,55
2023,7,3,Coral City,10.8,LLG,1,4,turf_algae,0
2023,7,3,Coral City,10.8,LLG,1,4,sand,25
2023,7,3,Coral City,10.8,LLG,1,4,other,0
2023,7,3,Coral City,10.8,LLG,1,5,coral,15
2023,7,3,Coral City,10.8,LLG,1,5,cca,10
2023,7,3,Coral City,10.8,LLG,1,5,macro_algae,0
2023,7,3,Coral City,10.8,LLG,1,5,turf_algae,40
2023,7,3,Coral City,10.8,LLG,1,5,sand,35
2023,7,3,Coral City,10.8,LLG,1,5,other,0
2023,7,3,Grundys,8.5,LLG,1,1,coral,30
2023,7,3,Grundys,8.5,LLG,1,1,cca,10
2023,7,3,Grundys,8.5,LLG,1,1,macro_algae,60
2023,7,3,Grundys,8.5,LLG,1,1,turf_algae,0
2023,7,3,Grundys,8.5,LLG,1,1,sand,0
2023,7,3,Grundys,8.5,LLG,1,1,other,0
2023,7,3,Grundys,8.5,LLG,1,2,coral,20
2023,7,3,Grundys,8.5,LLG,1,2,cca,20
2023,7,3,Grundys,8.5,LLG,1,2,macro_algae,40
2023,7,3,Grundys,8.5,LLG,1,2,turf_algae,10
2023,7,3,Grundys,8.5,LLG,1,2,sand,0
2023,7,3,Grundys,8.5,LLG,1,2,other,10
2023,7,3,Grundys,8.5,LLG,1,3,coral,10
2023,7,3,Grundys,8.5,LLG,1,3,cca,30
2023,7,3,Grundys,8.5,LLG,1,3,macro_algae,50
2023,7,3,Grundys,8.5,LLG,1,3,turf_algae,0
2023,7,3,Grundys,8.5,LLG,1,3,sand,0
2023,7,3,Grundys,8.5,LLG,1,3,other,10
2023,7,3,Grundys,8.5,LLG,1,4,coral,0
2023,7,3,Grundys,8.5,LLG,1,4,cca,70
2023,7,3,Grundys,8.5,LLG,1,4,macro_algae,30
2023,7,3,Grundys,8.5,LLG,1,4,turf_algae,0
2023,7,3,Grundys,8.5,LLG,1,4,sand,0
2023,7,3,Grundys,8.5,LLG,1,4,other,0
2023,7,3,Grundys,8.5,LLG,1,5,coral,10
2023,7,3,Grundys,8.5,LLG,1,5,cca,30
2023,7,3,Grundys,8.5,LLG,1,5,macro_algae,60
2023,7,3,Grundys,8.5,LLG,1,5,turf_algae,0
2023,7,3,Grundys,8.5,LLG,1,5,sand,0
2023,7,3,Grundys,8.5,LLG,1,5,other,0
2023,7,3,Westpoint,10.9,LLG,1,1,coral,15
2023,7,3,Westpoint,10.9,LLG,1,1,cca,0
2023,7,3,Westpoint,10.9,LLG,1,1,macro_algae,50
2023,7,3,Westpoint,10.9,LLG,1,1,turf_algae,0
2023,7,3,Westpoint,10.9,LLG,1,1,sand,35
2023,7,3,Westpoint,10.9,LLG,1,1,other,0
2023,7,3,Westpoint,10.9,LLG,1,2,coral,15
2023,7,3,Westpoint,10.9,LLG,1,2,cca,0
2023,7,3,Westpoint,10.9,LLG,1,2,macro_algae,35
2023,7,3,Westpoint,10.9,LLG,1,2,turf_algae,0
2023,7,3,Westpoint,10.9,LLG,1,2,sand,40
2023,7,3,Westpoint,10.9,LLG,1,2,other,10
2023,7,3,Westpoint,10.9,LLG,1,3,coral,20
2023,7,3,Westpoint,10.9,LLG,1,3,cca,30
2023,7,3,Westpoint,10.9,LLG,1,3,macro_algae,20
2023,7,3,Westpoint,10.9,LLG,1,3,turf_algae,0
2023,7,3,Westpoint,10.9,LLG,1,3,sand,20
2023,7,3,Westpoint,10.9,LLG,1,3,other,10
2023,7,3,Westpoint,10.9,LLG,1,4,coral,0
2023,7,3,Westpoint,10.9,LLG,1,4,cca,10
2023,7,3,Westpoint,10.9,LLG,1,4,macro_algae,25
2023,7,3,Westpoint,10.9,LLG,1,4,turf_algae,15
2023,7,3,Westpoint,10.9,LLG,1,4,sand,35
2023,7,3,Westpoint,10.9,LLG,1,4,other,15
2023,7,3,Westpoint,10.9,LLG,1,5,coral,40
2023,7,3,Westpoint,10.9,LLG,1,5,cca,0
