Year,Month,Day,Site,Depth,Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,20.00,15.00,10.00,549.7787144,,,,,,,,,,0,549.7787144,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,20.00,12.00,5.00,251.3274123,,,,,,,,,,0,251.3274123,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,11.00,12.00,1.00,36.12831552,,,,,,,,,,0,36.12831552,,
2022,September,3,Coral City,31,1,AM,ppor,Porites,porites,4.00,6.00,4.00,62.83185307,,,,,,,,,,0,62.83185307,,
2022,September,3,Coral City,31,1,AM,past,Porites,astreoides,8.00,9.00,6.00,160.2212253,,,,,,,,,,0,160.2212253,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,10.00,30.00,10.00,628.3185307,,,,,,,,,,0,628.3185307,,
2022,September,3,Coral City,31,1,AM,malc,Millepora,alcicornis,25.00,10.00,7.00,384.8451001,,,,,,,,,,0,384.8451001,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,8.00,7.00,1.00,23.5619449,,,,,,,,,,0,23.5619449,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,12.00,8.00,9.00,282.7433388,,,,,,,,,,0,282.7433388,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,50.00,35.00,50.00,6675.884389,,,,,,,,,,0,6675.884389,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,8.00,6.00,5.00,109.9557429,,,,,,,,,,0,109.9557429,,
2022,September,3,Coral City,31,1,AM,ppor,Porites,porites,3.00,5.00,4.00,50.26548246,,,,,,,,,,0,50.26548246,,
2022,September,3,Coral City,31,1,AM,past,Porites,astreoides,4.00,3.00,6.00,65.97344573,,,,,,,,,,0,65.97344573,,
2022,September,3,Coral City,31,1,AM,malc,Millepora,alcicornis,10.00,20.00,10.00,471.238898,,,,,,,,,,0,471.238898,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,20.00,15.00,2.00,109.9557429,,,,,,,,,,0,109.9557429,,
2022,September,3,Coral City,31,1,AM,pstr,Pseudodiploria,strigosa,17.00,24.00,4.00,257.6105976,,,,,,,,,,0,257.6105976,,
2022,September,3,Coral City,31,1,AM,aaga,Agaricia,agaricites,9.00,8.00,3.00,80.11061267,,,,,,,,,,0,80.11061267,,
2022,September,3,Coral City,31,1,AM,sint,Stephanocoenia ,intersepta,7.00,8.00,3.00,70.68583471,,,,,,,,,,0,70.68583471,,
2022,September,3,Coral City,31,1,AM,past,Porites,astreoides,6.00,5.00,3.00,51.83627878,,,,,,,,,,0,51.83627878,,
2022,September,3,Coral City,31,1,AM,past,Porites,astreoides,10.00,8.00,4.00,113.0973355,,,,,,,,,,0,113.0973355,,
2022,September,3,Coral City,31,1,AM,ssid,Siderastrea,siderea,8.00,9.00,3.00,80.11061267,,,,,,,,,,0,80.11061267,,
2022,September,3,Coral City,31,1,AM,ofav,Orbicella,faveolata,25.00,30.00,15.00,1295.90697,,,,,,,,,,0,1295.90697,,
