Year,Month,Day,Site,Depth,Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2022,9,3,Coral City,36,2,GGG,SRAD,Siderastrea,radians,25.00,25.00,15.00,1178.097245,10,n,NA,0,0,0,0,0,0,0,1178.097245,,
2022,9,3,Coral City,36,2,GGG,SINT,Stephanocoenia ,intersepta,20.00,20.00,10.00,628.3185307,10,n,NA,0,0,0,0,0,0,0,628.3185307,,
2022,9,3,Coral City,36,2,GGG,PSTR,Pseudodiploria,strigosa,45.00,25.00,10.00,1099.557429,10,n,NA,0,0,0,0,0,0,0,1099.557429,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,12.00,10.00,1.00,34.55751919,10,n,NA,0,0,0,0,0,0,0,34.55751919,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,16.00,5.00,7.00,230.90706,10,n,NA,0,0,0,0,0,0,0,230.90706,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,12.00,10.00,4.00,138.2300768,10,n,NA,0,0,0,0,0,0,0,138.2300768,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,16.00,13.00,1.00,45.55309348,10,n,NA,0,0,0,0,0,0,0,45.55309348,,
2022,9,3,Coral City,36,2,GGG,PPOR,Porites,porites,18.00,10.00,10.00,439.8229715,10,n,NA,0,0,0,0,0,0,0,439.8229715,,
2022,9,3,Coral City,36,2,GGG,MCAV,Montastraea,cavernosa,22.00,17.00,2.00,122.5221135,10,n,NA,0,0,0,0,0,0,0,122.5221135,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,12.00,10.00,4.00,138.2300768,10,n,NA,0,0,0,0,0,0,0,138.2300768,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,15.00,22.00,9.00,523.0751768,10,n,NA,0,0,0,0,0,0,0,523.0751768,,
2022,9,3,Coral City,36,2,GGG,PSTR,Pseudodiploria,strigosa,12.00,10.00,4.00,138.2300768,10,n,NA,0,0,0,0,0,0,0,138.2300768,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,15.00,22.00,9.00,523.0751768,10,n,NA,0,0,0,0,0,0,0,523.0751768,,
2022,9,3,Coral City,36,2,GGG,PSTR,Pseudodiploria,strigosa,12.00,13.00,5.00,196.3495408,10,n,NA,0,0,0,0,0,0,0,196.3495408,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,6.00,5.00,1.00,17.27875959,10,n,NA,0,0,0,0,0,0,0,17.27875959,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,25.00,22.00,5.00,369.1371368,10,n,NA,0,0,0,0,0,0,0,369.1371368,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,65.00,40.00,35.00,5772.676501,10,n,NA,0,0,0,0,0,0,0,5772.676501,,
2022,9,3,Coral City,36,2,GGG,AAGA,Agaricia,agaricites,8.00,6.00,2.00,43.98229715,10,n,NA,0,0,0,0,0,0,0,43.98229715,,
2022,9,3,Coral City,36,2,GGG,SRAD,Siderastrea,radians,25.00,30.00,15.00,1295.90697,10,n,NA,0,0,0,0,0,0,0,1295.90697,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,40.00,30.00,35.00,3848.451001,10,n,NA,0,0,0,0,0,5,192.42255,3656.028451,,
2022,9,3,Coral City,36,2,GGG,AAGA,Agaricia,agaricites,10.00,8.00,2.00,56.54866776,10,n,NA,0,0,0,0,0,0,0,56.54866776,,
2022,9,3,Coral City,36,2,GGG,PSTR,Pseudodiploria,strigosa,28.00,20.00,15.00,1130.973355,10,n,NA,0,0,0,0,0,0,0,1130.973355,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,70.00,30.00,40.00,6283.185307,10,n,NA,0,0,0,0,0,0,0,6283.185307,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,35.00,35.00,50.00,5497.787144,10,n,NA,0,0,0,0,0,0,0,5497.787144,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,18.00,12.00,15.00,706.8583471,10,n,NA,0,0,0,0,0,0,0,706.8583471,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,6.00,5.00,2.00,34.55751919,10,n,NA,0,0,0,0,0,0,0,34.55751919,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,12.00,11.00,6.00,216.7698931,10,n,NA,0,0,0,0,0,0,0,216.7698931,,
2022,9,3,Coral City,36,2,GGG,SRAD,Siderastrea,radians,32.00,30.00,10.00,973.8937226,10,n,NA,0,0,100,0,0,0,0,973.8937226,,
2022,9,3,Coral City,36,2,GGG,PSTR,Pseudodiploria,strigosa,35.00,25.00,20.00,1884.955592,10,n,NA,0,0,0,0,0,0,0,1884.955592,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,110.00,70.00,25.00,7068.583471,10,n,NA,0,0,0,0,0,0,0,7068.583471,,
2022,9,3,Coral City,36,2,GGG,DLAB,Diploria,labyrinthyformis,32.00,30.00,10.00,973.8937226,10,n,NA,0,0,0,0,0,0,0,973.8937226,,
2022,9,3,Coral City,36,2,GGG,AAGA,Agaricia,agaricites,26.00,12.00,1.00,59.69026042,10,n,NA,0,0,0,0,0,0,0,59.69026042,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,20.00,12.00,4.00,201.0619298,10,n,NA,0,0,0,0,0,0,0,201.0619298,,
2022,9,3,Coral City,36,2,GGG,MCAV,Montastraea,cavernosa,8.00,4.00,2.00,37.69911184,10,n,NA,0,0,0,0,0,0,0,37.69911184,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,10.00,8.00,1.00,28.27433388,10,n,NA,0,0,0,0,0,0,0,28.27433388,,
2022,9,3,Coral City,36,2,GGG,DLAB,Diploria,labyrinthyformis,40.00,30.00,10.00,1099.557429,10,n,NA,0,0,0,0,0,20,219.9114858,879.645943,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,45.00,25.00,15.00,1649.336143,10,n,NA,0,0,0,0,0,0,0,1649.336143,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,7.00,4.00,2.00,34.55751919,10,n,NA,0,0,0,0,0,0,0,34.55751919,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,6.00,5.00,2.00,34.55751919,10,n,NA,0,0,0,0,0,0,0,34.55751919,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,10.00,8.00,2.00,56.54866776,10,n,NA,0,0,0,0,0,0,0,56.54866776,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,8.00,6.00,2.00,43.98229715,10,n,NA,0,0,0,0,0,0,0,43.98229715,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,18.00,12.00,9.00,424.1150082,10,n,NA,10,0,0,0,0,0,0,424.1150082,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,200.00,100.00,100.00,47123.8898,10,n,NA,0,0,0,0,0,10,4712.38898,42411.50082,,
2022,9,3,Coral City,36,2,GGG,OFAV,Orbicella,faveolata,10.00,10.00,30.00,942.4777961,10,n,NA,0,0,0,0,0,40,376.9911184,565.4866776,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,10.00,10.00,2.00,62.83185307,10,n,NA,0,0,0,0,0,0,0,62.83185307,,
2022,9,3,Coral City,36,2,GGG,OANN,Orbicella,annularis,35.00,30.00,20.00,2042.035225,10,n,NA,0,0,0,0,0,5,102.1017612,1939.933464,,
2022,9,3,Coral City,36,2,GGG,OANN,Orbicella,annularis,35.00,30.00,20.00,2042.035225,10,n,NA,0,0,0,0,0,10,204.2035225,1837.831702,,
2022,9,3,Coral City,36,2,GGG,AAGA,Agaricia,agaricites,22.00,12.00,5.00,267.0353756,10,n,NA,0,0,0,0,0,75,200.2765317,66.75884389,,
2022,9,3,Coral City,36,2,GGG,OANN,Orbicella,annularis,26.00,18.00,4.00,276.4601535,10,n,NA,0,0,0,0,0,60,165.8760921,110.5840614,,
2022,9,3,Coral City,36,2,GGG,OANN,Orbicella,annularis,6.00,4.00,26.00,408.407045,10,n,NA,0,0,0,0,0,0,0,408.407045,,
2022,9,3,Coral City,36,2,GGG,AAGA,Agaricia,agaricites,26.00,21.00,20.00,1476.548547,10,n,NA,0,0,0,0,0,0,0,1476.548547,,
2022,9,3,Coral City,36,2,GGG,PAST,Porites,astreoides,6.00,7.00,7.00,142.9424657,10,n,NA,0,0,0,0,0,0,0,142.9424657,,
2022,9,3,Coral City,36,2,GGG,CNAT,Colpophyllia,natans,10.00,10.00,2.00,62.83185307,10,n,NA,0,0,0,0,0,80,50.26548246,12.56637061,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,30.00,20.00,10.00,785.3981634,10,n,NA,0,0,0,0,0,20,157.0796327,628.3185307,,
2022,9,3,Coral City,36,2,GGG,AAGA,Agaricia,agaricites,35.00,20.00,10.00,863.9379797,10,n,NA,0,0,0,0,0,20,172.7875959,691.1503838,,
2022,9,3,Coral City,36,2,GGG,SSID,Siderastrea,siderea,10.00,10.00,2.00,62.83185307,10,n,NA,0,0,0,0,0,0,0,62.83185307,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,20.00,12.00,10.00,502.6548246,10,n,NA,0,0,0,0,0,0,0,502.6548246,,
2022,9,3,Coral City,36,1,GGG,AAGA,Agaricia,agaricites,17.00,7.00,6.00,226.1946711,10,n,NA,0,0,0,0,0,0,0,226.1946711,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,9.00,6.00,3.00,70.68583471,10,n,NA,0,0,0,0,0,0,0,70.68583471,,
2022,9,3,Coral City,36,1,GGG,MALC,Millepora,alcicornis,12.00,4.00,18.00,452.3893421,10,n,NA,0,0,0,0,0,0,0,452.3893421,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,8.00,3.00,1.00,17.27875959,10,n,NA,0,0,0,0,0,0,0,17.27875959,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,10.00,8.00,1.00,28.27433388,10,n,NA,0,0,0,0,0,0,0,28.27433388,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,10.00,8.00,2.00,56.54866776,10,n,NA,0,0,0,0,0,0,0,56.54866776,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,13.00,7.00,2.00,62.83185307,10,n,NA,0,0,0,0,0,0,0,62.83185307,,
2022,9,3,Coral City,36,1,GGG,AAGA,Agaricia,agaricites,9.00,6.00,4.00,94.24777961,10,n,NA,0,0,0,0,0,0,0,94.24777961,,
2022,9,3,Coral City,36,1,GGG,PSTR,Pseudodiploria,strigosa,8.00,6.00,1.00,21.99114858,10,n,NA,0,0,0,0,0,0,0,21.99114858,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,22.00,17.00,10.00,612.6105675,10,n,NA,0,0,0,0,0,0,0,612.6105675,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,19.00,15.00,9.00,480.663676,10,n,NA,0,0,0,0,0,0,0,480.663676,,
2022,9,3,Coral City,36,1,GGG,SSID,Siderastrea,siderea,9.00,10.00,7.00,208.9159115,10,n,NA,0,0,0,0,0,0,0,208.9159115,,
2022,9,3,Coral City,36,1,GGG,SSID,Siderastrea,siderea,12.00,12.00,3.00,113.0973355,10,n,NA,0,0,0,0,0,10,11.30973355,101.787602,,
2022,9,3,Coral City,36,1,GGG,AAGA,Agaricia,agaricites,13.00,16.00,6.00,273.3185609,10,n,NA,0,0,0,0,0,0,0,273.3185609,,
2022,9,3,Coral City,36,1,GGG,AAGA,Agaricia,agaricites,10.00,8.00,3.00,84.82300165,10,n,NA,0,0,0,0,0,0,0,84.82300165,,
2022,9,3,Coral City,36,1,GGG,PSTR,Pseudodiploria,strigosa,14.00,10.00,1.00,37.69911184,10,n,NA,0,0,0,0,0,0,0,37.69911184,,
2022,9,3,Coral City,36,1,GGG,SSID,Siderastrea,siderea,60.00,32.00,25.00,3612.831552,10,n,NA,0,0,0,0,0,5,180.6415776,3432.189974,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,11.00,10.00,5.00,164.9336143,10,n,NA,0,0,0,0,0,0,0,164.9336143,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,12.00,8.00,4.00,125.6637061,10,n,NA,0,0,0,0,0,0,0,125.6637061,,
2022,9,3,Coral City,36,1,GGG,OFAV,Orbicella,faveolata,60.00,40.00,30.00,4712.38898,10,n,NA,0,0,0,0,0,0,0,4712.38898,,
2022,9,3,Coral City,36,1,GGG,OFAV,Orbicella,faveolata,65.00,40.00,50.00,8246.680716,10,n,NA,0,0,0,0,0,0,0,8246.680716,,
2022,9,3,Coral City,36,1,GGG,AAGA,Agaricia,agaricites,12.00,10.00,1.00,34.55751919,10,n,NA,0,0,0,0,0,0,0,34.55751919,,
2022,9,3,Coral City,36,1,GGG,PAST,Porites,astreoides,9.00,9.00,9.00,254.4690049,10,n,NA,0,0,0,0,0,0,0,254.4690049,,
2022,9,3,Coral City,36,1,GGG,AAGA,Agaricia,agaricites,12.00,8.00,10.00,314.1592654,10,n,NA,0,0,0,0,0,0,0,314.1592654,,
