Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,20.00,15.00,2.00,109.9557429,,,,,,,,,,0,109.9557429,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,10.00,5.00,1.00,23.5619449,,,,,,,,,60,14.13716694,9.424777961,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,30.00,10.00,5.00,314.1592654,,,,,,,,,20,62.83185307,251.3274123,,
2023,7,3,Coral City,10,1,Haley,AHUM,Agaricia,humilis,20.00,10.00,1.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,50.00,20.00,10.00,1099.557429,,,,,,,,,,0,1099.557429,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,60.00,20.00,40.00,5026.548246,,,,,,,,,,0,5026.548246,,
2023,7,3,Coral City,10,1,Haley,SSID,Siderastrea,siderea,30.00,30.00,5.00,471.238898,,,,,,,,,,0,471.238898,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,90.00,90.00,50.00,14137.16694,,,,,,,,,,0,14137.16694,,
2023,7,3,Coral City,10,1,Haley,PAST,Porites,astreoides,5.00,3.00,1.00,12.56637061,,,,,,,,,,0,12.56637061,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,10.00,20.00,5.00,235.619449,,,,,,,,,,0,235.619449,,
2023,7,3,Coral City,10,1,Haley,SSID,Siderastrea,siderea,5.00,5.00,1.00,15.70796327,,,,,,,,,,0,15.70796327,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,20.00,40.00,30.00,2827.433388,,,,,,,,,,0,2827.433388,,
2023,7,3,Coral City,10,1,Haley,AAGA,Agaricia,agaricites,40.00,40.00,1.00,125.6637061,,,,,,,,,,0,125.6637061,,
2023,7,3,Coral City,10,1,Haley,SSID,Siderastrea,siderea,10.00,10.00,1.00,31.41592654,,,,,,,,,,0,31.41592654,,
2023,7,3,Coral City,10,1,Haley,DSTO,Dichocoenia,stokesii,10.00,5.00,2.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,90.00,40.00,40.00,8168.140899,,,,,,,,,,0,8168.140899,,
2023,7,3,Coral City,10,1,Haley,MCOM,Millepora,complanata,50.00,40.00,30.00,4241.150082,,,,,,,,,,0,4241.150082,,
2023,7,3,Coral City,10,1,Haley,OFAV,Orbicella,faveolata,60.00,80.00,70.00,15393.804,,,,,,,,,,0,15393.804,,
2023,7,3,Coral City,10,1,Haley,SINT,Stephanocoenia ,intersepta,10.00,5.00,1.00,23.5619449,,,,,,,,,,0,23.5619449,,
