Year,Month,Day,Site,Depth (m),Transect,Observer,Species_Code,Coral_genus,Coral_spp,length,width,height,coral_SA,Area_surveyed,Disease_y_n,Disease_type,pale_perc,pale_bleached_perc,bleached_perc,new_mortality,trans_mortality,old_mortality,total_SA_dead,total_live__SA,,
2023,7,3,Coral City,10.8,1,LLG,OFAV,Orbicella,faveolata,80.00,60.00,70.00,15393.804,,,,,,,,,,0,15393.804,,
2023,7,3,Coral City,10.8,1,LLG,SRAD,Siderastrea,radians,7.00,6.00,5.00,102.1017612,,,,,,,,,,0,102.1017612,,
2023,7,3,Coral City,10.8,1,LLG,PPOR,Porites,porites,12.00,5.00,7.00,186.9247629,,,,,,,,,,0,186.9247629,,
2023,7,3,Coral City,10.8,1,LLG,MALC,Millepora,alcicornis,13.00,5.00,12.00,339.2920066,,,,,,,,,,0,339.2920066,,
2023,7,3,Coral City,10.8,1,LLG,OFAV,Orbicella,faveolata,15.00,10.00,13.00,510.5088062,,,,,,,,,,0,510.5088062,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,5.00,3.00,1.00,12.56637061,,,,,,,,,,0,12.56637061,,
2023,7,3,Coral City,10.8,1,LLG,CNAT,Colpophyllia,natans,14.00,15.00,4.00,182.2123739,,,,,,,,,,0,182.2123739,,
2023,7,3,Coral City,10.8,1,LLG,PAST,Porites,astreoides,4.00,3.00,3.00,32.98672286,,,,,,,,,,0,32.98672286,,
2023,7,3,Coral City,10.8,1,LLG,MCAV,Montastraea,cavernosa,5.00,4.00,1.00,14.13716694,,,,,,,,,,0,14.13716694,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,1.00,1.00,1.00,3.141592654,,,,,,,,,,0,3.141592654,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,7.00,5.00,1.00,18.84955592,,,,,,,,,,0,18.84955592,,
2023,7,3,Coral City,10.8,1,LLG,PPOR,Porites,porites,5.00,2.00,8.00,87.9645943,,,,,,,50,,,43.98229715,43.98229715,,
2023,7,3,Coral City,10.8,1,LLG,OFAV,Orbicella,faveolata,53.00,44.00,32.00,4875.751798,,,,,,,,,,0,4875.751798,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,1.00,1.00,1.00,3.141592654,,,,,,,,,,0,3.141592654,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,3.00,3.50,1.00,10.21017612,,,,,,,,,,0,10.21017612,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,6.00,5.00,1.50,25.91813939,,,,,,,,,,0,25.91813939,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,14.00,16.00,4.00,188.4955592,,,,,,,,,,0,188.4955592,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,6.00,4.00,4.00,62.83185307,,,,,,,,,,0,62.83185307,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,3.00,2.00,1.00,7.853981634,,,,,,,,,,0,7.853981634,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,14.00,7.00,10.00,329.8672286,,,,,,,,,,0,329.8672286,,
2023,7,3,Coral City,10.8,1,LLG,PAST,Porites,astreoides,6.00,9.00,2.00,47.1238898,,,,,,,,,,0,47.1238898,,
2023,7,3,Coral City,10.8,1,LLG,CNAT,Colpophyllia,natans,9.00,8.00,1.00,26.70353756,,,,,,,,,,0,26.70353756,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,3.00,2.00,1.00,7.853981634,,,,,,,,,,0,7.853981634,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,7.00,6.00,1.00,20.42035225,,,,,,,,,,0,20.42035225,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,4.00,4.00,1.00,12.56637061,,,,,,,,,,0,12.56637061,,
2023,7,3,Coral City,10.8,1,LLG,SRAD,Siderastrea,radians,6.00,7.00,5.00,102.1017612,,,,,,,,,,0,102.1017612,,
2023,7,3,Coral City,10.8,1,LLG,SRAD,Siderastrea,radians,5.00,4.00,2.00,28.27433388,,,,,,,,,,0,28.27433388,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,29.00,12.00,4.00,257.6105976,,,,,,,,,,0,257.6105976,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,24.00,13.00,9.00,523.0751768,,,,,,,,,,0,523.0751768,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,21.00,10.00,7.00,340.8628029,,,,,,,,,,0,340.8628029,,
2023,7,3,Coral City,10.8,1,LLG,MALC,Millepora,alcicornis,4.00,11.00,27.00,636.1725124,,,,,,,,,,0,636.1725124,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,4.00,2.00,1.00,9.424777961,,,,,,,,,,0,9.424777961,,
2023,7,3,Coral City,10.8,1,LLG,SRAD,Siderastrea,radians,9.00,6.00,6.00,141.3716694,,,,,,,,,,0,141.3716694,,
2023,7,3,Coral City,10.8,1,LLG,CNAT,Colpophyllia,natans,54.00,65.00,44.00,8224.689567,,,,,,,,,40,3289.875827,4934.81374,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,8.00,15.00,3.00,108.3849465,,,,,,,,,,0,108.3849465,,
2023,7,3,Coral City,10.8,1,LLG,MCAV,Montastraea,cavernosa,4.00,4.00,2.00,25.13274123,,,,,,,,,,0,25.13274123,,
2023,7,3,Coral City,10.8,1,LLG,SRAD,Siderastrea,radians,3.00,2.00,2.00,15.70796327,,,,,,,,,,0,15.70796327,,
2023,7,3,Coral City,10.8,1,LLG,SRAD,Siderastrea,radians,7.00,5.00,4.00,75.39822369,,,,,,,,,,0,75.39822369,,
2023,7,3,Coral City,10.8,1,LLG,PAST,Porites,astreoides,30.00,23.00,15.00,1248.78308,,,,,,,,,,0,1248.78308,,
2023,7,3,Coral City,10.8,1,LLG,AAGA,Agaricia,agaricites,13.00,17.00,17.00,801.1061267,,,,,,,,,,0,801.1061267,,
2023,7,3,Coral City,10.8,1,LLG,OANN,Orbicella,annularis,45.00,21.00,44.00,4561.592533,,,,,,,,,,0,4561.592533,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,41.00,36.00,20.00,2419.026343,,,,,,,,,40,967.6105373,1451.415806,,
2023,7,3,Coral City,10.8,1,LLG,PFUR,Porites,furcata,15.00,9.00,8.00,301.5928947,,,,,,,,,,0,301.5928947,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,57.00,35.00,34.00,4913.45091,,,,,,,,,,0,4913.45091,,
2023,7,3,Coral City,10.8,1,LLG,SSID,Siderastrea,siderea,7.00,4.00,1.00,17.27875959,,,,,,,,,,0,17.27875959,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,8.00,5.00,1.00,20.42035225,,,,,,,,,,0,20.42035225,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,18.00,10.00,9.00,395.8406744,,,,,,,,,,0,395.8406744,,
2023,7,3,Grundys,8.5,1,LLG,OFAV,Orbicella,faveolata,34.00,41.00,6.00,706.8583471,,,,,,,,,10,70.68583471,636.1725124,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,14.00,12.00,4.00,163.362818,,,,,,,,,,0,163.362818,,
2023,7,3,Grundys,8.5,1,LLG,AAGA,Agaricia,agaricites,40.00,15.00,21.00,1814.269757,,,,,,,,,,0,1814.269757,,
2023,7,3,Grundys,8.5,1,LLG,PAST,Porites,astreoides,15.00,13.00,1.00,43.98229715,,,,,,,,,,0,43.98229715,,
