Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,code,genus,species,length,width,SA
2023,7,4,Jigsaw,12.8,KE,1,3,PAST,Porites,astreoides,1,1,0.785398163
2023,7,4,Jigsaw,12.8,KE,1,3,SSID,Siderastrea,siderea,2,1,1.570796327
2023,7,4,Jigsaw,12.8,KE,1,5,AAGA,Agaricia,agaricites,3,2,4.71238898
2023,7,4,Jigsaw,12.8,KE,1,9,AAGA,Agaricia,agaricites,4,3,9.424777961
2023,7,4,Marilyns Cut,10,KE,1,1,PAST,Porites,astreoides,3,3,7.068583471
2023,7,4,Marilyns Cut,10,KE,1,3,SSID,Siderastrea,siderea,2,1,1.570796327
2023,7,4,Marilyns Cut,10,KE,1,5,PAST,Porites,astreoides,2,1,1.570796327
2023,7,4,Marilyns Cut,10,KE,1,7,FFRA,Favia,fragum,2,2,3.141592654
2023,7,4,Marilyns Cut,10,KE,1,9,PAST,Porites,astreoides,2,1,1.570796327
2023,7,4,Marilyns Cut,10,KE,1,9,PAST,Porites,astreoides,3,4,9.424777961
2023,7,4,Marilyns Cut,10,KE,1,9,AAGA,Agaricia,agaricites,2,2,3.141592654
2023,7,4,Meadows,7,KE,1,5,OANN,Orbicella,annularis,2,2,3.141592654
2023,7,4,Meadows,7,KE,1,9,OANN,Porites,astreoides,1,1,0.785398163
2023,7,4,Meadows,7,KE,1,9,PAST,Millepora,alcicornis,2,2,3.141592654
2023,7,4,Meadows,7,KE,1,9,MALC,#REF!,#REF!,3,1,2.35619449
2023,7,5,Sailfin,10.4,KE,1,1,PAST,Porites,astreoides,4,3,9.424777961
2023,7,5,Sailfin,10.4,KE,1,3,FFRA,Favia,fragum,2,1,1.570796327
2023,7,5,Sailfin,10.4,KE,1,3,FFRA,Favia,fragum,4,3,9.424777961
2023,7,5,Sailfin,10.4,KE,1,3,PAST,Porites,astreoides,2,1,1.570796327
2023,7,5,Sailfin,10.4,KE,1,3,PAST,Porites,astreoides,2,2,3.141592654
2023,7,5,Sailfin,10.4,KE,1,7,PAST,Porites,astreoides,1,1,0.785398163
2023,7,5,Sailfin,10.4,KE,1,9,SRAD,Siderastrea,radians,2,2,3.141592654
2023,7,5,Sailfin,10.4,KE,1,9,PAST,Porites,astreoides,1,1,0.785398163
2023,7,5,Snapshot,10.7,KE,1,1,PAST,Porites,astreoides,3,2,4.71238898
2023,7,5,Snapshot,10.7,KE,1,1,PORI,#N/A,#N/A,1,1,0.785398163
2023,7,5,Snapshot,10.7,KE,1,1,FFRA,Favia,fragum,1,1,0.785398163
2023,7,5,Snapshot,10.7,KE,1,5,PAST,Porites,astreoides,3,2,4.71238898
2023,7,5,Snapshot,10.7,KE,1,5,SSID,Siderastrea,siderea,3,2,4.71238898
2023,7,5,Snapshot,10.7,KE,1,5,SSID,Siderastrea,siderea,3,3,7.068583471
2023,7,5,Snapshot,10.7,KE,1,5,PAST,Porites,astreoides,4,4,12.56637061
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
,,,,,,,,,#N/A,#N/A,,,0
