Year,Site,trasnect,quadrat,Cructose,Macro Total,Macro Fleshy,Macro Calc,Turf,Number of juvenile corals
1999,Grundys  Gardens ,1,1,90,30,NA,NA,90,NA
1999,Grundys  Gardens ,1,2,30,15,NA,NA,80,NA
1999,Grundys  Gardens ,1,3,80,40,NA,NA,80,NA
1999,Grundys  Gardens ,1,4,0,50,NA,NA,95,NA
1999,Grundys  Gardens ,1,5,0,30,NA,NA,100,NA
1999,Grundys  Gardens ,2,1,0,60,NA,NA,90,NA
1999,Grundys  Gardens ,2,2,10,40,NA,NA,10,NA
1999,Grundys  Gardens ,2,3,0,20,NA,NA,20,NA
1999,Grundys  Gardens ,2,4,5,40,NA,NA,20,NA
1999,Grundys  Gardens ,2,5,80,70,NA,NA,5,NA
1999,Grundys  Gardens ,3,1,0,70,NA,NA,30,NA
1999,Grundys  Gardens ,3,2,0,5,NA,NA,90,NA
1999,Grundys  Gardens ,3,3,30,45,NA,NA,20,NA
1999,Grundys  Gardens ,3,4,10,40,NA,NA,80,NA
1999,Grundys  Gardens ,3,5,50,2,NA,NA,90,NA
1999,Grundys  Gardens ,4,1,20,40,NA,NA,80,NA
1999,Grundys  Gardens ,4,2,20,40,NA,NA,100,NA
1999,Grundys  Gardens ,4,3,10,80,NA,NA,50,NA
1999,Grundys  Gardens ,4,4,20,60,NA,NA,80,NA
1999,Grundys  Gardens ,4,5,20,0,NA,NA,100,NA
1999,Grundys  Gardens ,5,1,30,90,NA,NA,70,NA
1999,Grundys  Gardens ,5,2,100,20,NA,NA,40,NA
1999,Grundys  Gardens ,5,3,30,60,NA,NA,20,NA
1999,Grundys  Gardens ,5,4,0,90,NA,NA,80,NA
1999,Grundys  Gardens ,5,5,20,50,NA,NA,60,NA
1999,Grundys  Gardens ,6,1,70,70,NA,NA,70,NA
1999,Grundys  Gardens ,6,2,80,95,NA,NA,100,NA
1999,Grundys  Gardens ,6,3,80,100,NA,NA,100,NA
1999,Grundys  Gardens ,6,4,65,90,NA,NA,80,NA
1999,Grundys  Gardens ,6,5,50,100,NA,NA,70,NA
1999,Grundys  Gardens ,7,1,40,5,NA,NA,100,NA
1999,Grundys  Gardens ,7,2,80,90,NA,NA,100,NA
1999,Grundys  Gardens ,7,3,80,90,NA,NA,70,NA
1999,Grundys  Gardens ,7,4,60,100,NA,NA,60,NA
1999,Grundys  Gardens ,7,5,80,10,NA,NA,70,NA
1999,Grundys  Gardens ,8,1,40,90,NA,NA,80,NA
1999,Grundys  Gardens ,8,2,40,70,NA,NA,70,NA
1999,Grundys  Gardens ,8,3,70,30,NA,NA,90,NA
1999,Grundys  Gardens ,8,4,70,90,NA,NA,80,NA
1999,Grundys  Gardens ,8,5,70,80,NA,NA,90,NA
1999,Grundys  Gardens ,9,1,70,80,NA,NA,0,NA
1999,Grundys  Gardens ,9,2,100,0,NA,NA,100,NA
1999,Grundys  Gardens ,9,3,30,80,NA,NA,0,NA
1999,Grundys  Gardens ,9,4,0,100,NA,NA,0,NA
1999,Grundys  Gardens ,9,5,10,70,NA,NA,0,NA
1999,Grundys  Gardens ,10,1,25,90,NA,NA,0,NA
1999,Grundys  Gardens ,10,2,100,0,NA,NA,100,NA
1999,Grundys  Gardens ,10,3,70,100,NA,NA,0,NA
1999,Grundys  Gardens ,10,4,50,100,NA,NA,0,NA
1999,Grundys  Gardens ,10,5,0,25,NA,NA,25,NA
1999,Grundys  Gardens ,11,1,50,0,NA,NA,0,NA
1999,Grundys  Gardens ,11,2,0,50,NA,NA,50,NA
1999,Grundys  Gardens ,11,3,25,75,NA,NA,0,NA
1999,Grundys  Gardens ,11,4,75,25,NA,NA,0,NA
1999,Grundys  Gardens ,11,5,50,50,NA,NA,30,NA
1999,West Point,1,1,10,100,NA,NA,0,NA
1999,West Point,1,2,25,90,NA,NA,0,NA
1999,West Point,1,3,10,100,NA,NA,0,NA
1999,West Point,1,4,50,50,NA,NA,10,NA
1999,West Point,1,5,50,50,NA,NA,0,NA
1999,West Point,2,1,50,40,NA,NA,5,NA
1999,West Point,2,2,20,70,NA,NA,0,NA
1999,West Point,2,3,0,100,NA,NA,0,NA
1999,West Point,2,4,0,25,NA,NA,70,NA
1999,West Point,2,5,25,75,NA,NA,0,NA
1999,West Point,3,1,80,90,NA,NA,0,NA
1999,West Point,3,2,25,75,NA,NA,0,NA
1999,West Point,3,3,25,80,NA,NA,0,NA
1999,West Point,3,4,10,95,NA,NA,0,NA
1999,West Point,3,5,40,60,NA,NA,0,NA
1999,West Point,4,1,0,20,NA,NA,80,NA
1999,West Point,4,2,30,70,NA,NA,0,NA
1999,West Point,4,3,25,75,NA,NA,0,NA
1999,West Point,4,4,20,100,NA,NA,0,NA
1999,West Point,4,5,30,60,NA,NA,10,NA
1999,West Point,5,1,50,50,NA,NA,0,NA
1999,West Point,5,2,30,25,NA,NA,0,NA
1999,West Point,5,3,75,30,NA,NA,0,NA
1999,West Point,5,4,50,70,NA,NA,0,NA
1999,West Point,5,5,100,10,NA,NA,30,NA
1999,West Point,6,1,25,25,NA,NA,10,NA
1999,West Point,6,2,40,50,NA,NA,20,NA
1999,West Point,6,3,25,40,NA,NA,10,NA
1999,West Point,6,4,20,50,NA,NA,10,NA
1999,West Point,6,5,10,80,NA,NA,20,NA
1999,West Point,7,1,25,60,NA,NA,20,NA
1999,West Point,7,2,25,30,NA,NA,30,NA
1999,West Point,7,3,0,80,NA,NA,10,NA
1999,West Point,7,4,50,25,NA,NA,30,NA
1999,West Point,7,5,10,60,NA,NA,10,NA
1999,West Point,8,1,20,50,NA,NA,0,NA
1999,West Point,8,2,20,60,NA,NA,20,NA
1999,West Point,8,3,25,75,NA,NA,10,NA
1999,West Point,8,4,10,65,NA,NA,10,NA
1999,West Point,8,5,25,35,NA,NA,20,NA
1999,West Point,9,1,40,25,NA,NA,25,NA
1999,West Point,9,2,35,15,NA,NA,40,NA
1999,West Point,9,3,25,30,NA,NA,50,NA
1999,West Point,9,4,20,65,NA,NA,10,NA
1999,West Point,9,5,25,40,NA,NA,10,NA
1999,West Point,10,1,25,40,NA,NA,20,NA
1999,West Point,10,2,10,65,NA,NA,10,NA
1999,West Point,10,3,50,35,NA,NA,10,NA
1999,West Point,10,4,10,75,NA,NA,10,NA
1999,West Point,10,5,10,65,NA,NA,10,NA
1999,Coral City,1,1,80,100,NA,NA,0,NA
1999,Coral City,1,2,90,50,NA,NA,10,NA
1999,Coral City,1,3,100,10,NA,NA,10,NA
1999,Coral City,1,4,100,0,NA,NA,25,NA
1999,Coral City,1,5,100,50,NA,NA,0,NA
1999,Coral City,2,1,100,0,NA,NA,20,NA
1999,Coral City,2,2,50,50,NA,NA,0,NA
1999,Coral City,2,3,100,10,NA,NA,0,NA
1999,Coral City,2,4,100,20,NA,NA,0,NA
1999,Coral City,2,5,25,50,NA,NA,20,NA
1999,Coral City,3,1,50,60,NA,NA,10,NA
1999,Coral City,3,2,50,30,NA,NA,20,NA
1999,Coral City,3,3,10,50,NA,NA,50,NA
1999,Coral City,3,4,100,20,NA,NA,25,NA
1999,Coral City,3,5,75,50,NA,NA,10,NA
1999,Coral City,4,1,90,20,NA,NA,10,NA
1999,Coral City,4,2,75,50,NA,NA,25,NA
1999,Coral City,4,3,100,30,NA,NA,10,NA
1999,Coral City,4,4,50,80,NA,NA,5,NA
1999,Coral City,4,5,50,50,NA,NA,0,NA
1999,Coral City,5,1,30,70,NA,NA,0,NA
1999,Coral City,5,2,50,25,NA,NA,10,NA
1999,Coral City,5,3,100,50,NA,NA,0,NA
1999,Coral City,5,4,50,35,NA,NA,0,NA
1999,Coral City,5,5,100,50,NA,NA,0,NA
1999,Coral City,6,1,10,60,NA,NA,30,NA
1999,Coral City,6,2,50,40,NA,NA,50,NA
1999,Coral City,6,3,80,25,NA,NA,20,NA
1999,Coral City,6,4,70,75,NA,NA,60,NA
1999,Coral City,6,5,80,15,NA,NA,80,NA
1999,Coral City,7,1,80,85,NA,NA,70,NA
1999,Coral City,7,2,90,50,NA,NA,80,NA
1999,Coral City,7,3,90,10,NA,NA,100,NA
1999,Coral City,7,4,40,30,NA,NA,80,NA
1999,Coral City,7,5,70,25,NA,NA,80,NA
1999,Coral City,8,1,10,50,NA,NA,90,NA
1999,Coral City,8,2,20,50,NA,NA,70,NA
1999,Coral City,8,3,50,50,NA,NA,50,NA
1999,Coral City,8,4,10,5,NA,NA,90,NA
1999,Coral City,8,5,70,5,NA,NA,70,NA
1999,Coral City,9,1,10,40,NA,NA,40,NA
1999,Coral City,9,2,60,30,NA,NA,40,NA
1999,Coral City,9,3,60,40,NA,NA,80,NA
1999,Coral City,9,4,20,80,NA,NA,40,NA
1999,Coral City,9,5,40,50,NA,NA,40,NA
1999,Coral City,10,1,40,65,NA,NA,30,NA
1999,Coral City,10,2,60,5,NA,NA,20,NA
1999,Coral City,10,3,50,40,NA,NA,60,NA
1999,Coral City,10,4,5,20,NA,NA,90,NA
1999,Coral City,10,5,20,90,NA,NA,70,NA
1999,Coral City,11,1,8,40,NA,NA,70,NA
1999,Coral City,11,2,90,30,NA,NA,50,NA
1999,Coral City,11,3,100,20,NA,NA,10,NA
1999,Coral City,11,4,100,20,NA,NA,10,NA
1999,Coral City,11,5,80,8,NA,NA,80,NA
1999,Coral City,12,1,20,20,NA,NA,60,NA
1999,Coral City,12,2,30,30,NA,NA,50,NA
1999,Coral City,12,3,20,60,NA,NA,80,NA
1999,Coral City,12,4,30,50,NA,NA,30,NA
1999,Coral City,12,5,40,10,NA,NA,90,NA
1999,Coral City,13,1,30,70,NA,NA,50,NA
1999,Coral City,13,2,20,60,NA,NA,40,NA
1999,Coral City,13,3,70,5,NA,NA,90,NA
1999,Coral City,13,4,80,20,NA,NA,90,NA
1999,Coral City,13,5,40,20,NA,NA,60,NA
1999,Coral City,14,1,50,50,NA,NA,70,NA
1999,Coral City,14,2,50,60,NA,NA,60,NA
1999,Coral City,14,3,60,70,NA,NA,80,NA
1999,Coral City,14,4,50,40,NA,NA,20,NA
1999,Coral City,14,5,90,10,NA,NA,90,NA
1999,Coral City,15,1,25,60,NA,NA,50,NA
1999,Coral City,15,2,50,40,NA,NA,80,NA
1999,Coral City,15,3,20,70,NA,NA,30,NA
