Year,Site,Coral No.,OBSERV,TRANSECT,Depth (m),Coral Cover (cm),Sand Cover (cm),CORR CORAL COVER,Coral Spp.,Max   Diameter   (cm),Max Width (cm),Max Height  (cm),% old,%recent,Disease 1 ,Disease 2,Bleaching,Damsel fish,Comments,,,
1999,Grundy's  Gardens ,1,CH,1,9.8,420,0,420,Agaaga,35,,20,50,0,,,,,Duplicate w/RG,,,
1999,Grundy's  Gardens ,2,CH,,,,,,Porpor,50,,40,20,30,,,,,,,,
1999,Grundy's  Gardens ,3,CH,,,,,,Monfav,80,,70,10,0,,,,,,,,
1999,Grundy's  Gardens ,4,CH,,,,,,Monfra,60,,40,20,0,,,,,,,,
1999,Grundy's  Gardens ,5,CH,,,,,,Monann,120,,70,20,0,,,,,,,,
1999,Grundy's  Gardens ,6,CH,,,,,,Moncav,20,,40,0,0,,,,,,,,
1999,Grundy's  Gardens ,7,CH,,11,,,,Monann,55,,40,40,0,,,,,,,,
1999,Grundy's  Gardens ,8,CH,2,9.8,530,0,530,Monfav,190,,320,0,0,,,,,Duplicate w/RG,,,
1999,Grundy's  Gardens ,9,CH,,,,,,Monann,110,,100,0,3,,,,,spot fish biting,,,
1999,Grundy's  Gardens ,10,CH,,,,,,Monfra,110,,180,10,0,,,,,,,,
1999,Grundy's  Gardens ,11,CH,,,,,,Monfra,100,,50,0,0,,,,,,,,
1999,Grundy's  Gardens ,12,CH,,,,,,Monfra,120,,80,0,0,,,,,,,,
1999,Grundy's  Gardens ,13,CH,,10,,,,Monann,100,,75,0,0,,,,,,,,
1999,Grundy's  Gardens ,14,CH,3,9,430,0,430,Monann,50,,50,0,0,,,,,,,,
1999,Grundy's  Gardens ,15,CH,,,,,,Monfav,200,,130,0,0,,,PB,,,,,
1999,Grundy's  Gardens ,16,CH,,,,,,Monann,40,,30,0,30,,,,,,,,
1999,Grundy's  Gardens ,17,CH,,,,,,Monann,110,,50,0,0,,,,,,,,
1999,Grundy's  Gardens ,18,CH,,,,,,Monann,60,,50,0,0,,,,,,,,
1999,Grundy's  Gardens ,19,CH,,,,,,Monann,40,,50,0,0,,,,,,,,
1999,Grundy's  Gardens ,20,RG,,,,,,Agaaga,30,,20,50,0,,,,,Duplicate w/CH,,,
1999,Grundy's  Gardens ,21,RG,,,,,,Monfav,80,,60,25,0,,,,,,,,
1999,Grundy's  Gardens ,22,RG,,,,,,Monfav,40,,40,30,0,,,,,,,,
1999,Grundy's  Gardens ,23,RG,,,,,,Monfav,60,,30,20,0,,,,,,,,
1999,Grundy's  Gardens ,24,RG,,,,,,Monann,120,,80,30,0,,,,,,,,
1999,Grundy's  Gardens ,25,RG,,10.7,,,,Monann,60,,40,50,0,,,,,,,,
1999,Grundy's  Gardens ,26,RG,4,10.7,400,0,400,Monfav,220,,110,10,0,,,,,Duplicate w/CH,,,
1999,Grundy's  Gardens ,27,RG,,,,,,Monann,100,,80,60,0,,,,,,,,
1999,Grundy's  Gardens ,28,RG,,,,,,Monfra,80,,160,5,0,,,,,,,,
1999,Grundy's  Gardens ,29,RG,,,,,,Monfra,100,,70,10,0,,,,,,,,
1999,Grundy's  Gardens ,30,RG,,,,,,Monfav,120,,60,25,0,,,,,,,,
1999,Grundy's  Gardens ,31,RG,,9,,,,Monann,80,,60,10,0,,,,,,,,
1999,Grundy's  Gardens ,32,CK,5,9.8,140,0,140,Porast,30,,15,0,0,,,,,,,,
1999,Grundy's  Gardens ,33,CK,,,,,,Dipstr,10,,5,0,0,,,,,,,,
1999,Grundy's  Gardens ,34,CK,,,,,,Dipstr,10,,5,0,0,,,,,,,,
1999,Grundy's  Gardens ,35,CK,,,,,,Monfav,90,,60,15,0,,,,,,,,
1999,Grundy's  Gardens ,36,CK,,,,,,Agaaga,80,,20,50,0,,,,,,,,
1999,Grundy's  Gardens ,37,CK,,,,,,Monann,35,,60,40,0,,,,,,,,
1999,Grundy's  Gardens ,38,CK,,,,,,Milspp,30,,35,20,0,,,,,,,,
1999,Grundy's  Gardens ,39,CK,,,,,,Agaaga,25,,10,10,0,,,,,,,,
1999,Grundy's  Gardens ,40,CK,,,,,,Agaaga,15,,15,10,0,,,,,,,,
1999,Grundy's  Gardens ,41,CK,,,,,,Agaaga,40,,20,25,0,,,,,,,,
1999,Grundy's  Gardens ,42,CK,,,,,,Agaaga,20,,20,10,0,,,,,,,,
1999,Grundy's  Gardens ,43,CK,,,,,,Porpor,30,,10,40,0,,,,,,,,
1999,Grundy's  Gardens ,44,CK,6,9,260,0,260,Monann,50,,30,50,0,,,,,,,,
1999,Grundy's  Gardens ,45,CK,,,,,,Agaaga,30,,5,20,0,,,,,,,,
1999,Grundy's  Gardens ,46,CK,,,,,,Agaaga,25,,10,5,0,,,,,,,,
1999,Grundy's  Gardens ,47,CK,,,,,,Milspp,30,,20,10,0,,,,,,,,
1999,Grundy's  Gardens ,48,CK,,,,,,Agaaga,35,,25,50,0,,,,,,,,
1999,Grundy's  Gardens ,49,CK,,,,,,Milspp,30,,20,10,0,,,,,,,,
1999,Grundy's  Gardens ,50,CK,,,,,,Agaaga,30,,20,60,0,,,,,,,,
1999,Grundy's  Gardens ,51,CK,,,,,,Porpor,25,,10,65,0,,,,,,,,
1999,Grundy's  Gardens ,52,CK,,,,,,Milspp,20,,15,5,0,,,,,,,,
1999,Grundy's  Gardens ,53,CK,,,,,,Agaaga,20,,10,15,0,,,,,,,,
1999,Grundy's  Gardens ,54,CK,,,,,,Monann,40,,20,10,0,,,,,,,,
1999,Grundy's  Gardens ,55,CK,,,,,,Monfav,210,,170,10,0,,,,,,,,
1999,Grundy's  Gardens ,56,CK,7,9.5,280,0,280,Monfav,110,,90,25,0,,,,,,,,
1999,Grundy's  Gardens ,57,CK,,,,,,Monfav,220,,180,35,0,,,,,,,,
1999,Grundy's  Gardens ,58,CK,,,,,,Agaaga,30,,10,20,0,,,,,,,,
1999,Grundy's  Gardens ,59,CK,,,,,,Monann,15,,10,30,5,,,,,,,,
1999,Grundy's  Gardens ,60,CK,,,,,,Monann,50,,60,55,0,,,,,,,,
1999,Grundy's  Gardens ,61,CK,,,,,,Agaaga,15,,10,20,0,,,,,,,,
1999,Grundy's  Gardens ,62,CK,,,,,,Monann,10,,5,20,0,,,,,,,,
1999,Grundy's  Gardens ,63,CK,,,,,,Agaaga,25,,10,70,0,,,,,,,,
1999,Grundy's  Gardens ,64,BR,8,8,450,0,450,Monfav,60,,70,70,0,,,,,,,,
1999,Grundy's  Gardens ,65,BR,,,,,,Monfav,200,,250,50,0,,,,,,,,
1999,Grundy's  Gardens ,66,BR,,,,,,Monfav,400,,150,40,0,,,,,,,,
1999,Grundy's  Gardens ,67,BR,,,,,,Monann,120,,70,30,0,,,,,,,,
1999,Grundy's  Gardens ,68,BR,,10,,,,Monann,60,,40,50,0,,,,,,,,
1999,Grundy's  Gardens ,69,BR,9,8,370,0,370,Monfav,150,,100,40,0,,,,,,,,
1999,Grundy's  Gardens ,70,BR,,,,,,Monfav,100,,70,20,0,,,,,,,,
1999,Grundy's  Gardens ,71,BR,,,,,,Manare,20,,5,0,0,,,,,,,,
1999,Grundy's  Gardens ,72,BR,,,,,,Monfav,160,,140,30,0,,,,,,,,
1999,Grundy's  Gardens ,73,BR,,,,,,Agaaga,20,,10,20,0,,,,,,,,
1999,Grundy's  Gardens ,74,BR,,10,,,,Monfav,90,,60,75,0,,,,,,,,
1999,Grundy's  Gardens ,75,BR,10,7,340,0,340,Monfav,100,,80,50,0,,,,,,,,
1999,Grundy's  Gardens ,76,BR,,,,,,Monfav,140,,100,10,0,,,,,,,,
1999,Grundy's  Gardens ,77,BR,,,,,,Monfav,170,,170,5,0,,,,,,,,
1999,Grundy's  Gardens ,78,BR,,,,,,Agaaga,25,,25,5,0,,,,,,,,
1999,Grundy's  Gardens ,79,BR,,,,,,Monann,40,,20,60,0,,,,,,,,
1999,Grundy's  Gardens ,80,BR,,,,,,Sidsid,60,,20,2,0,,,,,,,,
1999,Grundy's  Gardens ,81,BR,,,,,,Agaaga,20,,20,10,0,,,,,,,,
1999,Grundy's  Gardens ,82,BR,,,,,,Agaaga,30,,10,2,0,,,,,,,,
1999,Grundy's  Gardens ,83,BR,,,,,,Monann,40,,30,5,0,,,,,,,,
1999,Grundy's  Gardens ,84,BR,11,8,530,0,530,Dipstr,330,,390,7,0,,,,,,,,
1999,Grundy's  Gardens ,85,BR,,,,,,Monann,230,,100,85,0,,,,,,,,
1999,Grundy's  Gardens ,86,BR,,,,,,Monann,110,,30,85,0,,,,,,,,
1999,Grundy's  Gardens ,87,BR,,,,,,Colnat,130,,30,20,0,,,,,,,,
1999,Grundy's  Gardens ,88,BR,,,,,,Monfav,30,,10,5,0,,,,,,,,
1999,Grundy's  Gardens ,89,BR,,,,,,Agaaga,40,,10,2,0,,,,,,,,
1999,Grundy's  Gardens ,90,BR,,8,,,,Monann,170,,20,15,0,,,,,,,,
1999,West Point ,1,BR,1,17,330,0,330,Porast,35,,10,0,0,,,,,,,,
1999,West Point ,2,BR,,,,,,Agaaga,30,,15,30,0,,,,,,,,
1999,West Point ,3,BR,,,,,,Meamea,60,,15,0,0,,,,,,,,
1999,West Point ,4,BR,,,,,,Monfav,90,,15,0,0,,,,,,,,
1999,West Point ,5,BR,,,,,,Porpor,70,,30,20,0,,,,,,,,
1999,West Point ,6,BR,,,,,,Dipstr,50,,20,0,0,,,,,,,,
1999,West Point ,7,BR,,,,,,Monfav,40,,20,0,0,,,,,,,,
1999,West Point ,8,BR,,,,,,Diplab,35,,15,2,0,,,,,,,,
1999,West Point ,9,BR,,,,,,Agaaga,40,,20,0,20,,,,,,,,
1999,West Point ,10,BR,,,,,,Agaaga,50,,20,10,10,,,,,,,,
1999,West Point ,11,BR,,,,,,Moncav,100,,140,30,0,,,,,overgrowth by sponge,,,
1999,West Point ,12,BR,,,,,,Porpor,100,,30,0,0,,,,,,,,
