year,site,observ,transect,depth,percent_cover,coral_spp,surface_area
1999,Black Tip Tunnels,BR,1,15,0.175,MCAV,11310
1999,Black Tip Tunnels,BR,1,15,0.175,AGRA,942
1999,Black Tip Tunnels,BR,1,15,0.175,PPOR,1257
1999,Black Tip Tunnels,BR,1,15,0.175,AGRA,942
1999,Black Tip Tunnels,BR,1,15,0.175,PPOR,1257
1999,Black Tip Tunnels,BR,1,15,0.175,MMEA,1571
1999,Black Tip Tunnels,BR,1,15,0.175,OFAV,1257
1999,Black Tip Tunnels,BR,1,15,0.175,AGRA,471
1999,Black Tip Tunnels,BR,1,15,0.175,AGRA,785
1999,Black Tip Tunnels,BR,1,14,0.175,DLAB,628
1999,Black Tip Tunnels,BR,2,10,0.150,PPOR,1257
1999,Black Tip Tunnels,BR,2,10,0.150,OFAV,15080
1999,Black Tip Tunnels,BR,2,10,0.150,OANN,3770
1999,Black Tip Tunnels,BR,2,10,0.150,MCAV,20735
1999,Black Tip Tunnels,BR,2,10,0.150,AGRA,1257
1999,Black Tip Tunnels,BR,2,10,0.150,AGRA,2513
1999,Black Tip Tunnels,BR,2,10,0.150,OANN,628
1999,Black Tip Tunnels,BR,2,10,0.150,DLAB,785
1999,Black Tip Tunnels,BR,2,10,0.150,OANN,628
1999,Black Tip Tunnels,BR,3,15,0.140,PPOR,3770
1999,Black Tip Tunnels,BR,3,15,0.140,AGRA,942
1999,Black Tip Tunnels,BR,3,15,0.140,AGRA,628
1999,Black Tip Tunnels,BR,3,15,0.140,OFAV,2827
1999,Black Tip Tunnels,BR,3,15,0.140,MCAV,11310
1999,Black Tip Tunnels,BR,3,15,0.140,OFAV,5655
1999,Black Tip Tunnels,BR,3,15,0.140,PPOR,1414
1999,Black Tip Tunnels,BR,3,15,0.140,PSTR,8482
1999,Black Tip Tunnels,BR,4,10,0.106,PPOR,2513
1999,Black Tip Tunnels,BR,4,10,0.106,OFAV,15394
1999,Black Tip Tunnels,BR,4,10,0.106,MCAV,3770
1999,Black Tip Tunnels,BR,4,10,0.106,OFRA,785
1999,Black Tip Tunnels,BR,4,10,0.106,OFAV,942
1999,Black Tip Tunnels,BR,4,10,0.106,EFAS,785
1999,Black Tip Tunnels,BR,4,10,0.106,MCAV,1100
1999,Black Tip Tunnels,BR,4,10,0.106,AGRA,785
1999,Black Tip Tunnels,BR,4,10,0.106,AGRA,3142
1999,Black Tip Tunnels,BR,4,10,0.106,AGRA,4712
1999,Black Tip Tunnels,CH,1,12,0.290,OFRA,3770
1999,Black Tip Tunnels,CH,1,12,0.290,OFRA,3770
1999,Black Tip Tunnels,CH,1,12,0.290,OFRA,2513
1999,Black Tip Tunnels,CH,1,12,0.290,OFRA,11310
1999,Black Tip Tunnels,CH,1,12,0.290,PAST,3770
1999,Black Tip Tunnels,CH,1,12,0.290,OANN,9425
1999,Black Tip Tunnels,CH,1,12,0.290,OANN,1414
1999,Black Tip Tunnels,CH,1,12,0.290,DLAB,1571
1999,Black Tip Tunnels,CH,1,12,0.290,OANN,942
1999,Black Tip Tunnels,CH,1,13.7,0.290,AGRA,471
1999,Black Tip Tunnels,CH,2,12,0.160,AGRA,471
1999,Black Tip Tunnels,CH,2,12,0.160,OFAV,785
1999,Black Tip Tunnels,CH,2,12,0.160,OFRA,3770
1999,Black Tip Tunnels,CH,2,12,0.160,OFRA,13195
1999,Black Tip Tunnels,CH,2,12,0.160,OFRA,942
1999,Black Tip Tunnels,CH,2,12,0.160,AGRA,5498
1999,Black Tip Tunnels,CH,2,12,0.160,OFAV,1885
1999,Black Tip Tunnels,CH,2,12,0.160,MALC,12566
1999,Black Tip Tunnels,CH,2,12,0.160,OANN,1571
1999,Black Tip Tunnels,CH,2,13.4,0.160,AGRA,628
1999,Black Tip Tunnels,CH,3,12,0.170,AGRA,2356
1999,Black Tip Tunnels,CH,3,12,0.170,AGRA,1885
1999,Black Tip Tunnels,CH,3,12,0.170,AGRA,2513
1999,Black Tip Tunnels,CH,3,12,0.170,OFAV,236
1999,Black Tip Tunnels,CH,3,12,0.170,AGRA,942
1999,Black Tip Tunnels,CH,3,12,0.170,PPOR,1257
1999,Black Tip Tunnels,CH,3,12,0.170,OFRA,7540
1999,Black Tip Tunnels,CH,3,12,0.170,MCAV,1885
1999,Black Tip Tunnels,CH,3,13,0.170,OANN,1571
1999,Black Tip Tunnels,CK,1,13,0.050,DLAB,8639
1999,Black Tip Tunnels,CK,1,13,0.050,AAGA,1414
1999,Black Tip Tunnels,CK,1,13,0.050,PAST,251
1999,Black Tip Tunnels,CK,1,13,0.050,AAGA,785
1999,Black Tip Tunnels,CK,1,13,0.050,OFAV,1100
1999,Black Tip Tunnels,CK,1,13,0.050,OFAV,13195
1999,Black Tip Tunnels,CK,2,10,0.050,AAGA,3299
1999,Black Tip Tunnels,CK,2,10,0.050,PPOR,157
1999,Black Tip Tunnels,CK,2,10,0.050,AAGA,94
1999,Black Tip Tunnels,CK,2,10,0.050,AAGA,942
1999,Black Tip Tunnels,CK,2,10,0.100,PAST,785
1999,Black Tip Tunnels,CK,2,10,0.100,SSID,157
1999,Black Tip Tunnels,CK,2,10,0.100,SSID,377
1999,Black Tip Tunnels,CK,2,10,0.100,CNAT,785
1999,Black Tip Tunnels,CK,2,10,0.100,MCAV,471
1999,Black Tip Tunnels,CK,2,10,0.100,AAGA,2199
1999,Black Tip Tunnels,CK,2,10,0.100,DLAB,785
1999,Black Tip Tunnels,CK,2,10,0.100,AAGA,471
1999,Black Tip Tunnels,CK,2,10,0.100,AAGA,1649
1999,Black Tip Tunnels,CK,2,10,0.100,OANN,785
1999,Black Tip Tunnels,CK,3,12.8,0.110,AAGA,1178
1999,Black Tip Tunnels,CK,3,12.8,0.110,OANN,785
1999,Black Tip Tunnels,CK,3,12.8,0.110,AAGA,1649
1999,Black Tip Tunnels,CK,3,12.8,0.110,PAST,251
1999,Black Tip Tunnels,CK,3,12.8,0.110,AAGA,942
1999,Black Tip Tunnels,CK,3,12.8,0.110,PAST,79
1999,Black Tip Tunnels,CK,3,12.8,0.110,PAST,79
1999,Black Tip Tunnels,CK,3,12.8,0.110,MCAV,2513
1999,Black Tip Tunnels,CK,3,12.8,0.110,OFAV,3142
1999,Black Tip Tunnels,CK,3,12.8,0.110,SSID,471
1999,Black Tip Tunnels,CK,3,12.8,0.110,SBOU,1571
1999,Black Tip Tunnels,CK,4,13,0.045,PSTR,2513
1999,Black Tip Tunnels,CK,4,13,0.045,SSID,63
1999,Black Tip Tunnels,CK,4,13,0.045,AAGA,785
1999,Black Tip Tunnels,CK,4,13,0.045,PAST,157
1999,Black Tip Tunnels,CK,4,13,0.045,AAGA,1885
1999,Black Tip Tunnels,CK,4,13,0.045,DLAB,471
1999,Black Tip Tunnels,CK,4,13,0.045,DLAB,785
1999,Black Tip Tunnels,JH,1,11.6,0.180,SSID,38642
1999,Black Tip Tunnels,JH,1,11.6,0.180,AGRA,126
1999,Black Tip Tunnels,JH,1,11.6,0.180,PPOR,735
1999,Black Tip Tunnels,JH,1,11.6,0.180,OANN,1257
1999,Black Tip Tunnels,JH,1,11.6,0.180,OANN,16965
1999,Black Tip Tunnels,JH,1,11.6,0.180,AGRA,848
1999,Black Tip Tunnels,JH,1,11.6,0.180,AGRA,2463
1999,Black Tip Tunnels,JH,1,11.6,0.180,OFAV,47124
1999,Black Tip Tunnels,JH,1,11.6,0.180,MALC,2513
1999,Black Tip Tunnels,JH,1,11.8,0.180,OFAV,6912
1999,Black Tip Tunnels,JH,2,10,0.130,OFAV,974
1999,Black Tip Tunnels,JH,2,10,0.130,AGRA,2903
1999,Black Tip Tunnels,JH,2,10,0.130,AGRA,565
1999,Black Tip Tunnels,JH,2,10,0.130,OFAV,1913
1999,Black Tip Tunnels,JH,2,10,0.130,AGRA,2670
1999,Black Tip Tunnels,JH,2,10,0.130,OANN,2199
1999,Black Tip Tunnels,JH,2,10,0.130,OFAV,10996
1999,Black Tip Tunnels,JH,2,10,0.130,AGRA,1734
1999,Black Tip Tunnels,JH,2,10,0.130,OFAV,144199
1999,Black Tip Tunnels,RG,1,10.7,0.290,AGRA,1178
1999,Black Tip Tunnels,RG,1,10.7,0.290,OANN,8796
1999,Black Tip Tunnels,RG,1,10.7,0.290,OANN,14137
1999,Black Tip Tunnels,RG,1,10.7,0.290,OANN,13195
1999,Black Tip Tunnels,RG,1,10.7,0.290,AGRA,1571
1999,Black Tip Tunnels,RG,1,10.7,0.290,OFAV,16965
1999,Black Tip Tunnels,RG,1,10.7,0.290,OANN,3770
1999,Black Tip Tunnels,RG,1,10.7,0.290,PAST,236
1999,Black Tip Tunnels,RG,1,11.6,0.290,PAST,157
1999,Black Tip Tunnels,RG,2,11.6,0.150,AGRA,1571
1999,Black Tip Tunnels,RG,2,11.6,0.150,OANN,6283
1999,Black Tip Tunnels,RG,2,11.6,0.150,OANN,5655
1999,Black Tip Tunnels,RG,2,11.6,0.150,OFRA,22619
1999,Black Tip Tunnels,RG,2,11.6,0.150,OANN,7540
1999,Black Tip Tunnels,RG,2,11.6,0.150,PPOR,942
1999,Black Tip Tunnels,RG,2,11.6,0.150,AGRA,707
1999,Black Tip Tunnels,RG,3,10.7,0.220,AGRA,3142
1999,Black Tip Tunnels,RG,3,10.7,0.220,OFRA,1178
1999,Black Tip Tunnels,RG,3,10.7,0.220,OANN,314
1999,Black Tip Tunnels,RG,3,10.7,0.220,AGRA,3142
1999,Black Tip Tunnels,RG,3,10.7,0.220,MCAV,1257
1999,Black Tip Tunnels,RG,3,10.7,0.220,OANN,471
1999,Black Tip Tunnels,RG,3,10.7,0.220,MCAV,1178
1999,Black Tip Tunnels,RG,3,10.7,0.220,PPOR,9503
1999,Black Tip Tunnels,RG,3,10.7,0.220,AGRA,942
1999,Black Tip Tunnels,RG,3,10.7,0.220,AGRA,785
1999,Black Tip Tunnels,RG,3,12,0.220,SSID,4948
1999,Black Tip Tunnels,RG,4,12,0.205,OANN,471
1999,Black Tip Tunnels,RG,4,12,0.205,MALC,942
1999,Black Tip Tunnels,RG,4,12,0.205,OANN,314
1999,Black Tip Tunnels,RG,4,12,0.205,AGRA,471
1999,Black Tip Tunnels,RG,4,12,0.205,OANN,2513
1999,Black Tip Tunnels,RG,4,12,0.205,AGRA,942
1999,Black Tip Tunnels,RG,4,12,0.205,OFRA,15080
1999,Black Tip Tunnels,RG,4,12,0.205,AGRA,471
1999,Black Tip Tunnels,RG,4,12,0.205,OFRA,11310
1999,Black Tip Tunnels,RG,4,12,0.205,OFRA,24190
1999,Black Tip Tunnels,RG,4,12,0.205,OFAV,471
1999,Black Tip Tunnels,RG,4,10.7,0.205,PAST,236
1999,Charles Bay,BR,1,4,0.240,SSID,4712
1999,Charles Bay,BR,1,4,0.240,OANN,6283
1999,Charles Bay,BR,1,4,0.240,MARE,785
1999,Charles Bay,BR,1,4,0.240,DLAB,1414
1999,Charles Bay,BR,1,4,0.240,SINT,942
1999,Charles Bay,BR,1,4,0.240,PAST,2513
1999,Charles Bay,BR,1,4,0.240,CNAT,2513
1999,Charles Bay,BR,1,4,0.240,AGRA,1885
1999,Charles Bay,BR,1,4,0.240,OANN,11310
1999,Charles Bay,BR,1,4,0.240,AGRA,9425
1999,Charles Bay,BR,1,4,0.240,PPOR,10053
1999,Charles Bay,BR,1,4,0.240,OANN,1257
1999,Charles Bay,BR,2,4,0.250,OANN,3142
