year,site,observ,transect,depth,percent_cover,Coral Spp.,surface_area,perc_old,perc_new,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,AAGA,2199,50,0,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,PPOR,6283,20,30,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,OFAV,17593,10,0,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,OFRA,7540,20,0,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,OANN,26389,20,0,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,MCAV,2513,0,0,,,
1999,Grundys  Gardens ,CH,1,9.8,0.42,OANN,6912,40,0,,,
1999,Grundys  Gardens ,CH,2,9.8,0.53,OFAV,191009,0,0,,,
1999,Grundys  Gardens ,CH,2,9.8,0.53,OANN,34558,0,3,,,
1999,Grundys  Gardens ,CH,2,9.8,0.53,OFRA,62204,10,0,,,
1999,Grundys  Gardens ,CH,2,9.8,0.53,OFRA,15708,0,0,,,
1999,Grundys  Gardens ,CH,2,9.8,0.53,OFRA,30159,0,0,,,
1999,Grundys  Gardens ,CH,2,9.8,0.53,OANN,23562,0,0,,,
1999,Grundys  Gardens ,CH,3,9,0.43,OANN,7854,0,0,,,
1999,Grundys  Gardens ,CH,3,9,0.43,OFAV,81681,0,0,,,
1999,Grundys  Gardens ,CH,3,9,0.43,OANN,3770,0,30,,,
1999,Grundys  Gardens ,CH,3,9,0.43,OANN,17279,0,0,,,
1999,Grundys  Gardens ,CH,3,9,0.43,OANN,9425,0,0,,,
1999,Grundys  Gardens ,CH,3,9,0.43,OANN,6283,0,0,,,
1999,Grundys  Gardens ,RG,3,9,0.43,AAGA,1885,50,0,,,
1999,Grundys  Gardens ,RG,3,9,0.43,OFAV,15080,25,0,,,
1999,Grundys  Gardens ,RG,3,9,0.43,OFAV,5027,30,0,,,
1999,Grundys  Gardens ,RG,3,9,0.43,OFAV,5655,20,0,,,
1999,Grundys  Gardens ,RG,3,9,0.43,OANN,30159,30,0,,,
1999,Grundys  Gardens ,RG,3,10.7,0.43,OANN,7540,50,0,,,
1999,Grundys  Gardens ,RG,4,10.7,0.40,OFAV,76027,10,0,,,
1999,Grundys  Gardens ,RG,4,10.7,0.40,OANN,25133,60,0,,,
1999,Grundys  Gardens ,RG,4,10.7,0.40,OFRA,40212,5,0,,,
1999,Grundys  Gardens ,RG,4,10.7,0.40,OFRA,21991,10,0,,,
1999,Grundys  Gardens ,RG,4,10.7,0.40,OFAV,22619,25,0,,,
1999,Grundys  Gardens ,RG,4,9,0.40,OANN,15080,10,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,PAST,1414,0,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,PSTR,157,0,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,PSTR,157,0,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,OFAV,16965,15,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,AAGA,5027,50,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,OANN,6597,40,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,MALC,3299,20,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,AAGA,785,10,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,AAGA,707,10,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,AAGA,2513,25,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,AAGA,1257,10,0,,,
1999,Grundys  Gardens ,CK,5,9.8,0.14,PPOR,942,40,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,OANN,4712,50,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,AAGA,471,20,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,AAGA,785,5,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,MALC,1885,10,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,AAGA,2749,50,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,MALC,1885,10,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,AAGA,1885,60,0,,,
1999,Grundys  Gardens ,CK,6,9,0.26,PPOR,785,65,0,,,
