date,year,month,day,site,mpa,observer,transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density
19579,2022,September,3,Coral City,Outside,ADC,1,,10,3,Chaetodon_capistratus,Butterflyfish,Corallivore,0.0234,3.19,108.7269266,0.05
19591,2022,September,3,Coral City,Outside,ADC,1,,20,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,122.3477457,0.016666667
19580,2022,September,3,Coral City,Outside,ADC,1,,5,2,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,4.532603504,0.033333333
19581,2022,September,3,Coral City,Outside,ADC,1,,10,7,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,130.4809053,0.116666667
19582,2022,September,3,Coral City,Outside,ADC,1,,5,10,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,18.61835794,0.166666667
19583,2022,September,3,Coral City,Outside,ADC,1,,10,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,16.52668927,0.016666667
19584,2022,September,3,Coral City,Outside,ADC,1,,20,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,146.7000791,0.016666667
19585,2022,September,3,Coral City,Outside,ADC,1,,30,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,526.1599821,0.016666667
19586,2022,September,3,Coral City,Outside,ADC,1,,5,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,2.870220329,0.016666667
19587,2022,September,3,Coral City,Outside,ADC,1,,10,2,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,43.74849516,0.033333333
19588,2022,September,3,Coral City,Outside,ADC,1,,5,7,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,14.27724921,0.116666667
19589,2022,September,3,Coral City,Outside,ADC,1,,10,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,16.54463106,0.016666667
19590,2022,September,3,Coral City,Outside,ADC,1,,20,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,134.204684,0.016666667
19592,2022,September,3,Coral City,Outside,ADC,1,,5,5,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,18.6842869,0.083333333
19593,2022,September,3,Coral City,Outside,ADC,1,,10,2,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,57.75306079,0.033333333
19594,2022,September,3,Coral City,Outside,ADC,1,,10,1,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,20.41423563,0.016666667
19595,2022,September,3,Coral City,Outside,ADC,1,,20,1,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,152.3772427,0.016666667
19596,2022,September,3,Coral City,Outside,ADC,1,,5,13,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,20.35678388,0.216666667
19597,2022,September,3,Coral City,Outside,ADC,1,,10,5,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,69.01921323,0.083333333
19598,2022,September,3,Coral City,Outside,ADC,1,,60,1,Lachnolaimus_maximus,Wrasse,Carnivore,0.0224,2.97,4279.147257,0.016666667
19599,2022,September,3,Coral City,Outside,ADC,2,,20,2,Chaetodon_striatus,Butterflyfish,Corallivore,0.0251,3.06,480.6793928,0.033333333
19617,2022,September,3,Coral City,Outside,ADC,2,,5,1,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,2.505872175,0.016666667
19608,2022,September,3,Coral City,Outside,ADC,2,,20,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,122.3477457,0.016666667
19616,2022,September,3,Coral City,Outside,ADC,2,,20,1,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,122.6695505,0.016666667
19600,2022,September,3,Coral City,Outside,ADC,2,,20,3,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,459.9401928,0.05
19601,2022,September,3,Coral City,Outside,ADC,2,,5,5,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,9.30917897,0.083333333
19602,2022,September,3,Coral City,Outside,ADC,2,,10,2,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,33.05337854,0.033333333
19603,2022,September,3,Coral City,Outside,ADC,2,,20,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,146.7000791,0.016666667
19604,2022,September,3,Coral City,Outside,ADC,2,,10,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,21.87424758,0.016666667
19605,2022,September,3,Coral City,Outside,ADC,2,,40,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,1270.483116,0.016666667
19606,2022,September,3,Coral City,Outside,ADC,2,,10,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,16.54463106,0.016666667
19607,2022,September,3,Coral City,Outside,ADC,2,,20,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,134.204684,0.016666667
19609,2022,September,3,Coral City,Outside,ADC,2,,40,2,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,1740.200894,0.033333333
19618,2022,September,3,Coral City,Outside,ADC,2,,40,1,Lutjanus_analis,Snapper,Carnivore,0.0151,3.03,1079.490242,0.016666667
19610,2022,September,3,Coral City,Outside,ADC,2,,5,4,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,14.94742952,0.066666667
19611,2022,September,3,Coral City,Outside,ADC,2,,10,3,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,86.62959119,0.05
19612,2022,September,3,Coral City,Outside,ADC,2,,20,1,Acanthurus_coeruleus,Surgeonfish,Herbivore,0.0324,2.95,223.1431181,0.016666667
19613,2022,September,3,Coral City,Outside,ADC,2,,20,1,Acanthurus_tractus,Surgeonfish,Herbivore,0.0257,2.9,152.3772427,0.016666667
19614,2022,September,3,Coral City,Outside,ADC,2,,5,8,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,12.52725162,0.133333333
19615,2022,September,3,Coral City,Outside,ADC,2,,10,7,Halichoeres_garnoti,Wrasse,Omnivore,0.01,3.14,96.62689852,0.116666667
19619,2022,September,3,Coral City,Outside,ADC,3,,5,1,Chaetodon_capistratus,Butterflyfish,Corallivore,0.0234,3.19,3.971276915,0.016666667
19620,2022,September,3,Coral City,Outside,ADC,3,,10,2,Chaetodon_capistratus,Butterflyfish,Corallivore,0.0234,3.19,72.48461777,0.033333333
19644,2022,September,3,Coral City,Outside,ADC,3,,10,13,Stegastes_planifrons,Damselfish,Herbivore,0.02138,2.96,253.4842927,0.216666667
19634,2022,September,3,Coral City,Outside,ADC,3,,20,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,122.3477457,0.016666667
19635,2022,September,3,Coral City,Outside,ADC,3,,30,3,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,1295.272193,0.05
19621,2022,September,3,Coral City,Outside,ADC,3,,20,1,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,144.4084582,0.016666667
19622,2022,September,3,Coral City,Outside,ADC,3,,30,1,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,485.4063974,0.016666667
19643,2022,September,3,Coral City,Outside,ADC,3,,10,1,Caranx_ruber,Jacks,Carnivore,0.0158,2.99,15.44034809,0.016666667
19623,2022,September,3,Coral City,Outside,ADC,3,,5,3,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,6.798905257,0.05
19624,2022,September,3,Coral City,Outside,ADC,3,,5,7,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,13.03285056,0.116666667
19625,2022,September,3,Coral City,Outside,ADC,3,,10,3,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,49.58006782,0.05
