Date (m/d/y),Year,Month,Day,Site,MPA,Observer,Transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Caesar_Grunt,30,1,Haemulon_carbonarium,Grunt,Carnivore,0.01622,2.99,423.2952563,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,French_Grunt,10,1,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,18.17661231,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,French_Grunt,20,1,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,144.4084582,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,French_Grunt,30,1,Haemulon_flavolineatum,Grunt,Carnivore,0.0186,2.99,485.4063974,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Queen_Parrotfish,30,1,Scarus_vetula,Parrotfish,Herbivore,0.01479,3.03,442.2273269,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Redband_Parrotfish,10,3,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,49.58006782,0.05,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Redband_Parrotfish,20,3,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,440.1002374,0.05,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Redband_Parrotfish,30,3,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,1578.479946,0.05,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Stoplight_Parrotfish,10,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,21.87424758,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,ADC,1,Striped_Parrotfish,20,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,134.204684,0.016666667,,,,,,,,,,,,,,,
