Date (m/d/y),Year,Month,Day,Site,MPA,Observer,Transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Greenblotch_Parrotfish,10,1,Sparisoma_atomarium,Parrotfish,Herbivore,0.01122,3.09,13.80361561,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Princess_Parrotfish,5,4,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,9.065207009,0.066666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Princess_Parrotfish,10,2,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,37.28025867,0.033333333,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Redband_Parrotfish,20,1,Sparisoma_aurofrenatum,Parrotfish,Herbivore,0.0117,3.15,146.7000791,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Redtail_Parrotfish,30,1,Sparisoma_chrysopterum,Parrotfish,Herbivore,0.0129,3.1,489.4018424,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Stoplight_Parrotfish,20,3,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,500.1177462,0.05,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Striped_Parrotfish,10,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,16.54463106,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Striped_Parrotfish,20,1,Scarus_iseri,Parrotfish,Herbivore,0.0158,3.02,134.204684,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Yellowtail_Parrotfish,20,1,Sparisoma_rubripinne,Parrotfish,Herbivore,0.0178,3.02,151.1926187,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Graysby,10,1,Cephalopholis_cruentata,Grouper,Carnivore,0.011,3.11,14.17074507,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,july,4,Jigsaw,,Janna,1,Schoolmaster,20,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,145.6,0.016666667,,,,,,,,,,,,,,,
