Date (m/d/y),Year,Month,Day,Site,MPA,Observer,Transect,common_name,sizeclass,count,fish_spp,common_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,1,Nassau_Grouper,80,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,9393.030904,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Meadows,Inside,JVJ,3,Nassau_Grouper,80,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,9393.030904,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,4,Nassau_Grouper,75,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,7660.10962,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Jigsaw,Outside,JVJ,2,Yellowtail_Snapper,70,1,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,4146.155132,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marilyns Cut,Inside,JVJ,4,Nassau_Grouper,65,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,4873.574388,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,3,Nassau_Grouper,65,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,4873.574388,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,JVJ,4,Nassau_Grouper,60,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,3784.420127,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Grundys,Inside,JVJ,2,Queen_Parrotfish,60,1,Scarus_vetula,Parrotfish,Herbivore,0.01479,3.03,3612.155705,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Grundys,Inside,JVJ,4,Mutton_Snapper,60,1,Lutjanus_analis,Snapper,Carnivore,0.0151,3.03,3687.866879,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marilyns Cut,Inside,JVJ,4,Yellowtail_Snapper,60,1,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,2696.894792,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,2,Bluestriped_Grunt,60,1,Haemulon_sciurus,Grunt,Carnivore,0.0245,2.92,3813.886246,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,2,Nassau_Grouper,60,1,Epinephelus_striatus,Grouper,Carnivore,0.0091,3.16,3784.420127,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,4,Great_Barracuda,60,1,Sphyraena_barracuda,Barracuda,Carnivore,0.0115,2.94,1942.95399,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,4,Ocean_Triggerfish,60,1,Canthidermis_sufflamen,Triggerfish,Carnivore,0.0427,2.84,4790.462294,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Jigsaw,Outside,JVJ,1,Schoolmaster,60,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,3931.2,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Jigsaw,Outside,JVJ,1,Bar_Jack,60,2,Caranx_ruber,Jacks,Herbivore,0.0158,2.99,6551.780231,0.033333333,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Jigsaw,Outside,JVJ,2,Ballonfish,60,1,Diodon_holocanthus,Porcupinefish,Carnivore,0.0631,2.83,6795.12418,0.016666667,,,,,,,,,,,,,,,
05-Jul-23,2023,July,5,Sailfin,Outside,JVJ,4,Stoplight_Parrotfish,60,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,4167.89037,0.016666667,,,,,,,,,,,,,,,
05-Jul-23,2023,July,5,Snapshot,Outside,JVJ,2,Princess_Parrotfish,60,1,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,4325.424368,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Grundys,Inside,JVJ,4,Stoplight_Parrotfish,55,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,3229.95003,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,2,Princess_Parrotfish,55,1,Scarus_taeniopterus,Parrotfish,Herbivore,0.017,3.04,3320.102544,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,JVJ,3,Redtail_Parrotfish,50,1,Sparisoma_chrysopterum,Parrotfish,Herbivore,0.0129,3.1,2384.496689,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,JVJ,3,Porcupinefish,50,1,Diodon_hystrix,Porcupinefish,Carnivore,0.0871,2.76,4257.703034,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,JVJ,3,French_Angelfish,30,1,Pomacanthus_paru,Angelfish,Omnivore,0.049,2.96,1154.715496,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Coral City,Outside,JVJ,4,Stoplight_Parrotfish,50,1,Sparisoma_viride,Parrotfish,Herbivore,0.0257,2.93,2442.9537,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Grundys,Inside,JVJ,3,Black_Margate,50,1,Anisotremus_surinamensis,Grunt,Carnivore,0.0245,2.87,1841.662295,0.016666667,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Grundys,Inside,JVJ,4,Bermuda_or_Yellow_Chub,50,2,Kyphosus_spp.,Chub,Carnivore,0.0138,3.03,3879.611118,0.033333333,,,,,,,,,,,,,,,
03-Jul-23,2023,July,3,Westpoint,Inside,JVJ,2,Yellowtail_Snapper,50,1,Ocyurus_chrysurus,Snapper,Carnivore,0.0295,2.79,1621.617147,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marilyns Cut,Inside,JVJ,3,Schoolmaster,50,1,Lutjanus_apodus,Snapper,Carnivore,0.0182,3,2275,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,4,Mutton_Snapper,50,1,Lutjanus_analis,Snapper,Carnivore,0.0151,3.03,2122.540865,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Marthas,Outside,JVJ,4,Mahogany_Snapper,50,1,Lutjanus_mahogoni,Snapper,Carnivore,0.0617,2.65,1961.3526,0.016666667,,,,,,,,,,,,,,,
04-Jul-23,2023,July,4,Jigsaw,Outside,JVJ,2,Redtail_Parrotfish,50,1,Sparisoma_chrysopterum,Parrotfish,Herbivore,0.0129,3.1,2384.496689,0.016666667,,,,,,,,,,,,,,,
