Date,Diver ,Site,Bottom Temp (°F),Bottom Temp (°C),Qudrat No.,Quadrat Depth (ft),Quadrat Depth (m),Coral Code,Substratum,Comments
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,SSID,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,SSID,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,SSID,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,PFUR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,1,46,14.02439024,PFUR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,2,43,13.1097561,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,AAGA,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,AAGA,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,AAGA,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,AAGA,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,AAGA,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,OFAV,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,PAST,Live Coral/Dead Coral,Coralivorous snails present
01/07/19,KC,Coral City,84,28.88888889,3,43,13.1097561,PAST,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,PPOR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,MMIR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,MMIR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,MMIR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,PFUR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,4,45,13.7195122,PFUR,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,5,42,12.80487805,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,5,42,12.80487805,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,5,42,12.80487805,AAGA,Live Coral/Dead Coral,
01/07/19,KC,Coral City,84,28.88888889,5,42,12.80487805,AAGA,Live Coral/Dead Coral,
