Year,Month,Date,Site,Depth,Observer,Transect,Quadrat,code,genus,species,length,width,SA
2021,June,28,Marthas,38,GGG,1,1,SSID,Siderastrea,siderea,3,2.5,5.890486225
2021,June,28,Marthas,38,GGG,1,2,AAGA,Agaricia,agaricites,3,2.5,5.890486225
2021,June,28,Marthas,38,GGG,1,2,AAGA,Agaricia,agaricites,4,2,6.283185307
2021,June,28,Marthas,38,GGG,1,3,EFAS,Eusmilia,fastigiata,3.5,1.5,4.123340358
2021,June,28,Marthas,38,GGG,1,4,AAGA,Agaricia,agaricites,4,4,12.56637061
2021,June,28,Marilyns Cut,33,GGG,1,1,PAST,Porites,astreoides,1.5,1.5,1.767145868
2021,June,28,Marilyns Cut,33,GGG,1,2,SSID,Siderastrea,siderea,2.5,2.5,4.908738521
2021,June,28,Marilyns Cut,33,GGG,1,2,SSID,Siderastrea,siderea,1.5,1.5,1.767145868
2021,June,28,Marilyns Cut,33,GGG,1,4,PAST,Porites,astreoides,3,2,4.71238898
2021,June,25,Coral City,40,CG,1,1,AAGA,Agaricia,agaricites,2,2,3.141592654
2021,June,25,Coral City,40,CG,1,7,SRAD,Siderastrea,radians,2,2,3.141592654
2021,June,25,Coral City,35,CG,2,3,MARE,Mancina,areolata,3,3,7.068583471
2021,June,25,Coral City,35,CG,2,5,SINT,Stephanocoenia ,intersepta,2,2,3.141592654
2021,June,25,Coral City,35,CG,2,5,PPOR,Porites,porites,3,3,7.068583471
2021,June,25,Westpoint,40,CG,1,1,SSID,Siderastrea,siderea,2,2,3.141592654
2021,June,25,Westpoint,40,CG,1,9,SRAD,Siderastrea,radians,2,1,1.570796327
2021,June,25,Coral City,38,GGG,1,1,EFAS,Eusmilia,fastigiata,2.5,2,3.926990817
2021,June,25,Coral City,38,GGG,1,3,AAGA,Agaricia,agaricites,1,1,0.785398163
2021,June,25,Coral City,38,GGG,1,5,AAGA,Agaricia,agaricites,3,2,4.71238898
2021,June,25,Coral City,38,GGG,1,7,PPOR,Porites,porites,2,1.5,2.35619449
2021,June,25,Coral City,38,GGG,1,9,AAGA,Agaricia,agaricites,3,2,4.71238898
2021,June,25,Coral City,38,GGG,1,9,AAGA,Agaricia,agaricites,3,2,4.71238898
